List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2021-M06,Imported value in 2021-M07,Imported value in 2021-M08,Imported value in 2021-M09,Imported value in 2021-M10,Imported value in 2021-M11,Imported value in 2021-M12,Imported value in 2022-M01,Imported value in 2022-M02,Imported value in 2022-M03,Imported value in 2022-M04,Imported value in 2022-M05
World,251320808,246591971,255372699,254061163,261190001,269715810,268436820,258783689,244284728,308516822,284400389,297239100
China,42648924,43282451,46395546,51061376,51835065,52143509,53212094,51585738,45642893,51019232,45226476,47350505
Canada,32873157,30670241,31806464,30487803,31959961,34536705,33914654,33178146,31689465,41334856,38900929,41342631
Mexico,33325369,32189120,32379267,32347193,34666997,34940477,33565646,33584001,32854957,40851780,39251439,39881999
Japan,11718386,12658531,12758367,10872477,10882607,11147543,11942642,12447373,11680175,14530022,12693030,13137021
Germany,11812322,11599433,12500528,11287949,11999183,12072643,11933028,10303282,9750189,13298057,11959206,12698161
Viet Nam,8632028,8828392,10042904,8897176,9757611,9899949,10158608,10544168,8773823,12295911,11722260,12684135
"Korea, Republic of",8786556,8292973,8858271,9053525,8208902,8406119,9076643,9109780,8761112,10024476,10451155,10901268
India,6137718,6418184,6922862,6638705,7522508,6913228,7492211,7036154,6332734,7703123,8133723,9002875
"Taipei, Chinese",6939398,7026692,7060071,7284338,8084155,7271863,7703151,7561297,6938284,8804244,7824535,8314968
Ireland,6115132,5391049,6328927,6917514,6810065,7546691,6016978,6115221,6397893,6708262,7457622,7426384
Italy,6086306,5934910,5518669,4750817,5515749,5664534,5476894,5029928,4682885,6000175,5849620,6688627
Thailand,4352859,4123046,4452104,4498656,4315794,4494479,4585809,4480832,4565284,5836872,5213491,5811281
United Kingdom,5272159,4822716,4798229,4892105,4629785,5032962,5412384,4091581,4142425,5780512,5567740,5756130
Malaysia,5275944,4978680,5406987,4697926,4407845,4609741,5330471,4570883,3875353,5852894,4660112,4852763
Switzerland,6536888,4696510,5263241,4871523,4314875,7042149,5501191,3977260,5190793,10797087,5047570,4829627
France,4447527,4715498,3930939,4317167,4579246,4410330,4213674,3986682,4014669,4831361,5453531,4820367
Netherlands,3057463,3481562,3428551,3953550,3042636,3345358,3444300,2301541,2824316,3938238,3309291,3668664
Indonesia,2268278,2166298,2534895,2800961,2831196,2677818,2899146,3018849,2679685,3427102,3527485,3549624
Brazil,2972545,3190033,2952197,3455140,3160298,3015554,3200947,3054682,2470222,3282869,3107056,3098305
Singapore,2635135,2531578,2115303,3040691,2538272,2497683,2228401,2470506,1908268,3887156,2805591,2624602
Spain,1787128,1636135,1895968,1634370,1586838,1607265,1826644,1480930,1662633,2170361,1907344,2429381
