List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2021-M06,Imported value in 2021-M07,Imported value in 2021-M08,Imported value in 2021-M09,Imported value in 2021-M10,Imported value in 2021-M11,Imported value in 2021-M12,Imported value in 2022-M01,Imported value in 2022-M02,Imported value in 2022-M03,Imported value in 2022-M04,Imported value in 2022-M05
Saudi Arabia,1522775,1359542,1281378,1414805,1231040,1531802,1718800,1689820,1490969,1976802,1943584,2421135
Belgium,2003317,1868326,1596230,1689140,2020217,1816603,1565250,1656504,1949034,2334379,2402645,2089522
Israel,1828952,1577332,1702677,1347867,1633178,1920473,1764344,1776540,1604647,1928948,1776373,1904703
T?rkiye,1524564,1554155,1394526,1480266,1585959,1491900,1573371,1359678,1619048,1808595,1787189,1901325
Colombia,1090571,1047659,1139694,1004115,1300964,1301591,1337084,1346208,1386142,1623686,1777642,1861481
Sweden,1710000,1202650,1054590,1252351,1137134,1272147,1473436,1312042,1161976,1790909,1418829,1624086
Chile,1247423,1181225,1534761,1473868,1577255,1126794,1334640,2179444,1260385,1497778,1555171,1572290
Austria,1192205,1226815,1345412,1284754,1479242,1434231,1745544,1304449,1400066,1602510,1372936,1560543
Australia,1055129,1047284,1242878,1027135,1239325,1119343,1192930,1161391,1074026,1523535,1343508,1496318
South Africa,1355053,1496127,1167931,1122566,1365941,1526904,1465979,1060817,852274,1650728,1432580,1481798
Philippines,1197635,1161668,1341546,1329214,1346789,1367042,1367127,1286282,1144240,1502667,1482456,1398043
Denmark,1273164,1111132,1254111,660459,883225,1378751,1041238,875574,1074782,1122456,908722,1214383
Cambodia,545684,713415,988616,1022768,1127554,862257,798450,918805,938380,1171805,1113465,1185600
Russian Federation,2814426,3097047,2916043,2655675,2536242,2866348,1966688,2033529,2660389,2838450,2157850,1158458
Ecuador,720259,661411,746147,663829,678694,770972,903015,639096,745257,848884,955399,1148748
Poland,876508,1126068,864725,817903,855264,936092,885063,897748,911770,997523,1073742,1097232
Bangladesh,666481,698397,756154,811933,858066,833954,969225,927163,838871,1248865,1002897,999407
Iraq,313267,456534,289374,159048,316354,376771,584017,544395,481445,517402,737174,977451
Portugal,481616,428439,502032,484806,403580,436811,382318,446980,459236,477879,529939,862211
Finland,528704,664383,541420,503460,526808,851260,723286,642746,701544,608463,877621,838862
Costa Rica,599543,593241,560392,600003,594816,571121,605132,482047,560567,704065,720609,763751
Nigeria,425788,369602,346002,277211,287393,306370,294502,97721,387358,262864,394481,723248
Pakistan,460285,507019,491422,458191,510548,607151,540638,539702,520032,602554,580198,692543
Norway,615518,674489,540383,598126,562449,542929,667707,489710,439719,561810,551219,685464
Czech Republic,531923,622164,567345,576744,533084,641806,617863,535562,544211,686810,625574,675467
Dominican Republic,583089,548088,561562,561934,588641,558555,583089,409592,551294,715193,578931,665909
United Arab Emirates,415697,644363,765897,350892,548040,525168,603563,446748,462247,617371,847783,630063
New Zealand,534325,490027,471923,471294,452519,464116,442711,460551,372523,514365,466656,613348
Hungary,602373,666681,632502,530194,750783,622663,653264,459037,455457,615246,681237,605928
Honduras,505108,461863,496813,493287,442961,461132,441944,371342,491546,614626,551054,601983
Argentina,407974,587966,408335,610062,482538,570576,574668,498025,481752,726314,748948,585143
Peru,486389,513490,646227,648202,889002,842230,849371,863035,804564,801768,574126,579888
Guatemala,418988,426221,459825,452172,396518,421243,482593,444589,420364,565071,599084,519477
Slovakia,471844,569200,292066,292850,249275,321131,500794,425944,262022,683028,484371,502667
Trinidad and Tobago,448344,407475,391090,462539,261571,417987,317179,727072,434104,481328,494812,482696
Nicaragua,403580,466893,482919,423360,390414,416941,423808,416683,406681,506280,469325,470441
Algeria,124955,193046,146573,109406,242299,204895,186175,138384,145325,209503,208740,435343
"Hong Kong, China",343377,283610,313560,361197,413906,578854,437316,375781,332735,712047,490276,353854
Jordan,222993,240141,320517,227843,283533,305947,247496,240070,226413,247893,222186,337848
Slovenia,142588,141951,151744,109532,227154,166406,155364,270821,202551,185396,226990,333366
Qatar,148920,167941,204744,195065,150196,210184,144102,413384,265289,170448,210354,320143
Romania,282671,326448,234918,275250,226293,252753,278414,244456,205342,333263,310327,312590
Sri Lanka,202187,249102,271816,251619,271617,304435,289925,300352,285185,332689,304786,303484
Egypt,282796,272033,347807,238363,489815,280591,288676,350626,241789,237540,304564,280991
Kuwait,115951,79691,116224,118486,131698,117219,151360,184938,65905,104414,237246,267916
El Salvador,223122,251358,222278,261818,224411,209659,232777,202709,241088,306625,242064,252791
Oman,127471,128149,145947,119403,168836,267547,244061,195091,246171,286051,250243,251911
Lithuania,252672,127795,133840,159536,160278,224970,136331,208017,307860,183855,351514,251133
Greece,177113,175893,171449,142845,138481,168173,160497,154501,146753,207163,163356,216973
Kazakhstan,239468,154900,118893,143390,99589,143095,156737,366083,147293,124522,290390,211997
Morocco,102718,123001,128435,98191,90440,132136,145092,116311,139938,147715,153336,194263
Ghana,139968,177258,169949,154161,167725,202244,114930,231129,133089,219180,303680,185932
"Libya, State of",230823,114626,343049,216138,264085,218199,101485,228425,188022,198264,245111,178674
Guyana,167789,188488,191047,404080,260311,295721,16183,268603,188475,123283,143024,169597
Bahrain,35673,44963,113081,142523,179305,179821,117290,253285,86172,161662,153907,165300
Bulgaria,118561,102984,110812,102543,110703,111029,104194,88278,107428,142963,116900,134696
Bahamas,22047,35816,34036,53629,56697,31055,113130,54976,34407,125624,155751,132014
C?te d'Ivoire,114337,60067,53000,103904,62834,60941,47409,137964,51146,117399,133011,128174
Myanmar,74701,74816,73377,81882,85461,92170,86761,85734,83421,84487,93137,121301
Estonia,154969,145647,182273,238060,147965,147004,233247,123588,106296,152615,121115,113219
Haiti,96540,102014,111576,105074,123893,71047,101763,63074,81161,98532,135749,103324
"Bolivia, Plurinational State of",35777,37316,34475,65277,50509,60930,25915,52491,57809,75241,53590,103002
Angola,32176,97848,140258,106452,69875,140908,7741,138469,238296,119676,70506,94340
Madagascar,69036,51798,49398,44279,58343,83171,60531,87852,69786,91736,87921,87890
Tunisia,52331,99570,85274,49519,60108,53958,42861,53570,55490,60707,77444,85600
Ethiopia,53403,69314,81938,63363,57204,48798,50796,75118,42995,55487,49815,83174
Serbia,61701,44495,44140,54833,67156,90689,70226,91558,73939,66283,78133,81446
Luxembourg,56953,56888,50898,54008,41742,85548,46634,79027,39099,49527,49026,81209
Namibia,15363,10748,4718,26621,16554,16604,14298,6209,10296,12369,26442,80645
Kenya,48520,62543,83954,64918,57306,68119,53507,57903,40909,84627,66797,77529
Uruguay,90256,73244,47815,59517,57335,61894,50659,76801,41551,65149,73447,75982
Croatia,76125,69074,61776,61349,69805,56824,48045,66703,75441,84895,75061,61283
Gabon,8702,16663,4348,23419,11726,11336,12753,2705,13361,5304,11036,59822
Latvia,72554,65263,95084,66391,58112,69148,53087,44632,37331,82069,83241,56619
Iceland,45454,53199,51729,55346,55797,61963,64536,56268,55243,67560,64093,56273
"Macedonia, North",6664,29275,7341,9116,9718,10617,11036,17225,41019,18035,14703,55219
Ukraine,191668,199985,107749,251606,160133,178042,184749,221872,194365,132509,80414,54766
Botswana,14377,36084,33532,37171,18266,21916,28084,16355,24714,20992,34207,53244
Azerbaijan,5574,14964,14121,5303,13977,19513,7244,4607,4060,17715,7039,42829
Panama,63101,46454,45576,35416,72865,37581,47919,42171,43357,40900,40912,42261
Fiji,33694,18806,16281,40867,26323,39410,23114,30187,32477,24622,30203,40617
"Venezuela, Bolivarian Republic of",23545,21980,38848,15896,46347,47910,40069,37049,35894,41218,36468,39279
Paraguay,14942,17722,16722,14670,13489,19544,18384,36276,15060,17890,22490,32943
Jamaica,109653,50478,51509,24983,31089,37224,32931,23376,30193,30992,23394,31755
Zambia,3544,3941,15438,14264,3156,101580,22843,10722,7154,12280,11367,28655
Faroe Islands,18172,17038,13442,19957,20034,27252,26260,22140,22233,25726,20265,28050
Malta,15102,26732,23407,26058,21266,20444,15597,18143,17006,20798,22078,27419
"Tanzania, United Republic of",7279,8449,5668,6776,4476,7132,26886,10182,9724,14685,13512,27176
Brunei Darussalam,1819,1438,2017,1039,1236,1415,1946,669,1167,17300,1610,24196
Lesotho,25133,22366,37185,32400,28113,47464,31792,31545,25329,30340,21417,21508
Lao People's Democratic Republic,23230,18898,19068,17063,20075,18001,25570,20057,19532,25811,21113,21294
Mozambique,25754,7853,13124,41055,9351,8258,16881,24552,4945,13433,15065,19083
Equatorial Guinea,21938,38041,15547,42468,28598,3562,42223,10265,28081,15892,22045,18960
Lebanon,31036,12481,21998,12252,13019,15630,13615,9576,16463,16082,24506,17859
Mauritius,21512,28697,25914,21626,24717,26986,25061,25027,18361,28305,25507,17462
Yemen,310,4623,1272,496,113,191,110,189,944,960,1218,16824
"Macao, China",13552,16230,11540,18727,14951,12884,17137,17315,9592,11449,9629,16198
Senegal,9209,6312,7255,18045,12740,18632,19031,19958,15592,344328,18601,13972
Cameroon,6240,6013,104282,16778,16534,9566,13837,8412,5413,10482,6359,12770
Armenia,8303,6752,6591,6288,7535,6181,8322,4222,5092,5862,7119,12659
Bosnia and Herzegovina,17666,9876,15085,15276,14307,16477,17246,15396,12784,16693,15654,12567
Nepal,8353,11008,11285,11784,13116,9982,9958,10161,10354,12398,10038,11208
"Congo, Democratic Republic of the",19790,33373,43765,40633,12510,8627,34801,13943,7890,48983,37729,9866
Uganda,8707,11062,10186,10178,8718,5856,10421,9181,26990,37925,14335,9849
Eswatini,1053,690,773,1837,13353,2333,947,446,807,967,486,9226
Suriname,5360,5761,7544,9316,6861,8638,5970,7267,5043,10127,5728,8974
Uzbekistan,11878,3605,37826,51448,53392,2462,3551,949,2226,3626,2650,8883
Liberia,5490,4373,3647,11328,10211,7060,8300,9547,5033,7051,6585,8347
Albania,5123,9742,5287,4228,5988,5609,6767,6033,9596,7736,27464,8214
Georgia,6790,23798,27989,26423,26342,5110,33253,6593,38634,39581,44976,7660
Belarus,17203,53217,37882,51425,66097,100447,12735,17572,116444,27728,15064,7181
Turkmenistan,34,12180,17,888,5134,5544,6,26723,229,204,58,6910
Togo,1353,1702,2517,858,3753,564,417,541,1463,3930,4403,6897
"Moldova, Republic of",6296,10600,5122,9484,5070,7690,7457,7192,6024,5640,7567,6819
Cyprus,5076,11640,4313,2452,4409,10079,8561,11437,5590,9867,3357,6320
Papua New Guinea,9673,4289,5397,5089,8772,10192,9172,6277,5974,2703,2586,5927
Niger,10646,5752,6734,15580,8278,9578,9060,8783,19018,7144,5180,5474
Cura?ao,8053,9317,15144,2780,10573,10641,15602,6053,15046,7783,19287,5458
Sudan,1,3414,10107,2054,28,849,14,1107,507,1043,228,4981
Djibouti,5891,4361,1735,7075,2096,746,708,4598,2497,1874,3534,4730
Malawi,2361,4115,4468,2264,3286,6147,5849,6475,3971,3149,6284,4486
Barbados,3716,3987,4131,3773,2963,4961,2878,2845,3228,5275,5584,4227
Zimbabwe,1452,6260,2737,11942,3006,1760,1982,13355,687,2137,9699,3833
Saint Kitts and Nevis,3879,1328,3769,3983,3466,3830,3293,2589,2870,3935,3819,3737
Belize,3729,6543,9715,2112,5752,4485,3781,4967,2522,2850,4199,3520
French Polynesia,6145,2842,5189,3511,4342,3898,3482,3008,2928,3915,3122,3340
Greenland,1491,3855,5662,1152,11416,2627,3707,2064,5603,2804,2637,2608
Congo,3148,1587,21779,1133,5384,3958,2676,3227,2092,1756,9060,2532
Mongolia,1359,1307,2531,2251,2653,1763,2578,2989,1674,558,780,2459
Grenada,1616,1477,1110,1241,870,1536,1307,1012,1436,2964,1733,2299
Marshall Islands,1327,1538,1551,1120,1811,1113,1581,1710,1377,1338,2400,1968
Seychelles,1281,801,569,615,1467,1175,1588,1103,515,596,2201,1794
Cuba,37,0,316,0,417,484,23,120,282,825,1431,1686
Sierra Leone,1105,2723,696,896,2270,1983,792,666,2548,2080,1080,1582
Saint Vincent and the Grenadines,948,258,853,287,562,577,543,523,731,585,956,1433
Rwanda,578,926,1933,3178,4143,2770,6089,5212,1541,6415,3143,1398
Afghanistan,1877,2004,1465,689,1830,1546,1476,2880,1369,1764,2380,1352
Burkina Faso,380,523,115,458,450,511,254,403,561,1081,570,1306
Saint Lucia,794,981,1014,1261,1163,1080,1129,938,807,1068,1055,1156
Cayman Islands,1311,2259,1156,1799,1885,1679,28453,28755,1762,2355,2312,1142
Antigua and Barbuda,775,570,262,308,991,1644,21603,1707,472,708,463,968
Saint Helena,1872,1933,34,44,11948,323,10190,119,413,72,15030,939
Mali,602,614,371,507,182,157,340,59,1101,350,914,858
Bermuda,976,776,631,328,1941,672,1248,257,435,617,1439,856
Turks and Caicos Islands,338,1092,61,393,346,878,205,877,451,713,734,842
Aruba,2109,1214,1283,640,1267,2005,707,466,1341,1130,506,837
Andorra,203,656,437,775,271,1184,568,223,231,561,512,781
Syrian Arab Republic,1425,634,430,929,509,1153,661,628,258,1378,652,778
Guinea,985,1162,765,323,723,998,763,1357,589,898,879,772
Burundi,135,2,60,14,2,16,1,261,852,803,660,633
Vanuatu,283,192,1238,153,170,1445,168,234,935,352,227,571
Mauritania,1017,632,189,483,128,724,80,495,282,48,418,534
Timor-Leste,178,100,317,1120,813,1224,761,1417,4850,452,228,532
Benin,153,259,3030,718,248,193,313,176,445,8,241,528
Montenegro,559,964,357,957,143,1663,540,597,800,408,548,514
"Palestine, State of",490,1238,289,1091,488,359,546,1981,831,1119,973,474
Cabo Verde,750,165,910,517,190,621,572,695,558,212,734,448
British Virgin Islands,730,245,946,513,244,248,103,635,502,629,430,408
Anguilla,42,87,31,87,86,31,48,53,28,4019,69,339
Kyrgyzstan,242,584,396,299,369,300,370,410,1061,1357,720,308
Gibraltar,647,25,27,710,565,516,85,31,4,135,15,300
Nauru,46,116,57,414,342,45,98,193,63,237,346,266
Maldives,1404,638,1774,1319,1124,956,821,1437,1910,2328,1958,252
Niue,57,68,59,45,147,18,186,304,143,216,299,250
New Caledonia,6921,3544,2265,3804,4720,6259,150,5088,4775,2918,14699,241
Samoa,929,1118,850,1630,579,896,786,219,2251,1475,1043,215
Tonga,421,254,369,422,304,321,275,149,172,291,384,211
Montserrat,46,32,160,14,95,250,514,122,365,84,46,204
Cocos (Keeling) Islands,46,54,130,82,97,24,1566,372,95,43,27,186
Cook Islands,36,680,77,5,50,132,51,12,31,197,249,140
"Iran, Islamic Republic of",62,68,193,65,434,84,130,0,106,4653,11,135
Sao Tome and Principe,30,25,33,88,98,224,29,126,87,27,38,113
"Micronesia, Federated States of",110,389,170,583,247,113,267,134,167,92,89,95
Dominica,71,290,47,1118,139,125,280,54,46,95,59,94
Solomon Islands,433,149,66,99,76,157,382,58,126,6867,58,94
Comoros,970,419,49,723,562,37,823,1055,732,1104,1012,88
Palau,42,30,35,46,77,126,44,114,41,43,26,57
Gambia,164,58,37,50,55,21,146,238,364,122,212,56
Falkland Islands (Malvinas),3061,806,1703,6,26,24,1653,1914,18,248,8085,53
Pitcairn,0,0,42,0,0,0,1,345,0,17,1,39
Eritrea,8,3,27,15,0,3,175,6,16,97,10,37
Central African Republic,82,7,81,1344,3,69,12,0,37,21,2,28
Tajikistan,12,4,120,17,22,23,81,572,29,64,7,19
Tokelau,15,20,151,11,15,12,22,16,20,17,16,17
British Indian Ocean Territory,5,2,3,13,105,59,90,19,6,32,78,17
Norfolk Island,0,0,0,3,0,0,1,0,0,0,245,14
Chad,44,776,435,725,579,49,357,8,252,915,82,7
Somalia,55,166,228,39,43,13,11,80,5,9,79,5
Christmas Island,146,17,937,13,7,13,203,91,39,88,158,4
French Southern and Antarctic Territories,1,4,0,0,12,3,145,0,0,3,16,4
Bhutan,123,21,0,42,4,9,8,25,6,3,6,4
Tuvalu,4,0,7,5,9,0,37,0,5,8,1,3
Saint Pierre and Miquelon,0,0,0,0,1,15,0,0,8,0,2,1
Guinea-Bissau,118,0,0,3,3,0,0,0,0,0,0,1
Wallis and Futuna Islands,0,63,0,34,2,6,2,6,0,0,1,0
Kiribati,31,202,0,147,72,315,101,235,169,172,411,0
