List of supplying markets for a product imported by China ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on General Customs Administration of China statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2023-M04,Imported value in 2023-M05,Imported value in 2023-M06,Imported value in 2023-M07,Imported value in 2023-M08,Imported value in 2023-M09,Imported value in 2023-M10,Imported value in 2023-M11,Imported value in 2023-M12,Imported value in 2024-M01,Imported value in 2024-M02,Imported value in 2024-M03
World,203544551,216655600,214548280,201271124,216503286,221298188,218298927,223539320,227779792,222276794,180245278,220635795
"Taipei, Chinese",15195097,15061531,17066039,16876549,18098235,18610371,18892905,18424716,17498676,16729066,12640339,15361117
"Korea, Republic of",12242758,12796477,13947443,12916885,13305293,15372384,14264634,15017497,14470531,14503695,11738899,15039946
Japan,13114357,12389384,13601463,13406199,12835591,14256619,13456288,14114327,14915573,11810922,10307110,13892226
United States of America,13256274,14382948,14109629,12152091,12010254,12932813,12408639,14108064,15046795,14391335,11877067,13866155
Australia,13233938,13284353,13138902,12510812,12365920,12232510,11955089,12772847,13830580,14807290,11360463,12944175
Russian Federation,9733539,11367497,11407832,9295023,11579452,11531541,11106957,11208453,11181697,10464869,9756161,11922898
China,8928278,8235982,9075298,8671185,8519965,9642785,8868514,9962353,10957219,9447451,6714712,10127938
Malaysia,7414493,8123751,9176771,8205549,8686212,9729529,9954341,9112810,9343038,7792011,7624559,8716605
Brazil,7723708,12362083,11107449,10814030,12153036,11302045,10592685,11416902,11729501,11281368,9352085,8630213
Viet Nam,5747213,6592769,8539141,6382993,7996854,9473597,10361671,9667098,9477285,7807655,5735624,8327091
Switzerland,4878446,5767334,3814187,3405356,3674113,4101943,3710594,4374405,4603932,9228566,6569139,7845569
Germany,8891531,9509900,9371045,8946707,9788450,8703538,8071606,8288180,8633704,7715368,6199961,7798433
Indonesia,6176581,5738036,5483892,5222478,6400547,6336829,6292939,6274129,6762934,6545265,4963777,5441743
Saudi Arabia,5972915,5539909,5581579,3897984,5863412,5286671,5487035,5369798,4590348,4832004,4871510,4663701
Canada,3386677,4031088,3041013,3324934,3697968,3740821,3525950,5338198,3240668,4544179,3002865,4426444
Thailand,5000069,4584187,4770287,4488200,4098284,4269588,4185242,3855252,4316368,3521180,2778751,3801409
United Arab Emirates,2699108,3892800,3176183,3057172,3266696,2936942,3760930,3042489,3797635,2965950,2942319,3661764
Iraq,2682842,3016033,2264259,2959929,3104541,3235571,3047806,2799293,3224359,3039962,2948712,3319338
Chile,3301078,3660615,3005859,2686484,3463097,2964987,3148322,3425909,3874768,4709779,3810413,3303736
South Africa,2237086,2570337,2201198,2480344,3087192,2912727,2880527,2946655,2038232,3975913,2282394,3089906
France,3167666,3425120,3425415,3004203,3118815,3272482,2957243,2819167,3258361,2731531,2223233,3079629
Singapore,2709844,2870343,2826643,2768397,2266384,2589348,2881709,2780901,2784132,2959893,2089739,2724267
Oman,2740271,2424349,2337751,2469623,2069637,2700573,2637087,2924769,3155181,3077119,2116012,2586938
Peru,1966000,2418328,1971854,1923198,2508836,2283918,1919208,2146893,2286262,2460801,2213243,2461211
Italy,2090688,2407000,2471181,2273240,2454058,2224160,2173409,2349030,2229870,2213630,1806709,2244428
Qatar,1805118,1579778,1389780,1583373,1940550,1942790,1397569,1407278,2030659,1871239,1775344,2107935
India,1792284,1568926,1434303,1413406,1596797,1419139,1513747,1599327,1537315,2012717,1692179,2014298
Ireland,1947534,1348930,1325737,1246290,1361512,1477710,1544394,1933217,1269478,1572475,1347696,1955712
United Kingdom,1374661,1497216,1514056,1503812,1945120,1645026,1690039,1524891,1933938,1645645,1167727,1831856
Netherlands,1060476,1221457,1632629,1333578,1651128,2029289,1409987,1552505,1922089,1398336,991260,1811553
Mexico,1571844,1535201,1587937,1546773,1916551,1525852,1896537,1655142,1507914,1590044,1256919,1562373
Philippines,1629904,1683025,1633947,1542575,1647342,1800461,1844499,1682229,1627465,1385461,1158751,1499367
"Congo, Democratic Republic of the",1067687,1370923,938249,1080969,1321866,1108984,1300279,1487833,1185929,1648915,1334759,1494539
Angola,1154061,1748003,1083371,1378436,2497055,1369174,2320197,1459722,1951622,1331746,1504985,1485415
"Hong Kong, China",1964243,1396867,918659,1067037,1357581,1211850,758692,1031190,931281,1278436,693973,1443845
Kazakhstan,1298484,1649008,1198972,1319517,1205378,1561442,1330298,1857153,1452421,1221251,1021055,1192774
Mongolia,1122130,954674,1041949,970226,1116535,1082827,897455,1261880,1403760,1083398,903014,1129278
New Zealand,1267570,1305642,1415096,1036491,956974,940879,940703,907721,797644,1127252,747884,869081
Spain,776324,859596,876662,791423,700851,646619,586954,684951,693369,785994,565813,784869
Turkmenistan,1002723,840354,808802,799815,778346,778232,666601,751269,779159,781730,851106,753108
Sweden,820144,810690,925750,831340,719902,659002,697593,665431,853173,672750,603789,742322
Kuwait,1025680,1540285,1276042,1374646,1295730,1144448,1874291,1309162,1461821,1312259,495821,740193
Myanmar,1031026,857101,943112,762758,637214,525008,517890,542829,615342,634587,584011,708434
Belgium,693798,624151,631468,627751,672387,649134,635173,600496,532511,600831,326750,681472
Israel,678749,664894,689107,637985,720790,877352,787722,789605,693785,742367,484347,679921
Ecuador,553925,674482,510458,463977,622301,577863,1052823,757647,594431,375664,621262,628193
Guinea,576612,617592,520602,573450,468800,438322,468460,532147,550072,620678,584125,604494
Austria,540357,664845,721275,697476,790182,756205,654761,770089,627823,609685,401397,578395
Colombia,341268,585776,359354,574206,546142,378566,698376,460941,766999,401269,548127,557882
Ukraine,421253,596748,430243,336892,182949,105212,146530,255415,339139,476773,477247,530318
Czech Republic,401372,393313,426906,484284,415513,454370,461694,428130,510991,429635,381948,496218
Zambia,411662,299528,390474,360493,320718,293044,423261,347200,206479,328893,223413,495366
Slovakia,648141,568401,422799,450181,394591,479259,1175459,745296,638987,498611,373539,493967
Norway,320130,462542,382110,311174,315923,302891,288281,325573,276957,304951,518505,488808
Argentina,466137,558760,413353,508133,405582,484624,420190,457367,677115,537635,345007,479405
Finland,356678,476254,515879,453814,340260,351700,356428,338550,373201,312520,299692,464871
Denmark,350106,473209,405529,394092,458541,451544,422667,427581,525970,359403,422243,438673
Costa Rica,214772,238379,342121,210746,199670,218163,269585,337950,285328,268477,243462,436482
"Iran, Islamic Republic of",381869,371405,309955,341631,388784,353299,457870,404898,404384,416797,413201,428395
Poland,452148,437337,371738,439746,336164,442656,373720,423027,379833,339577,382167,411209
Lao People's Democratic Republic,289416,246634,271323,305161,349396,274840,312004,332068,395431,356605,381084,409753
Gabon,239140,434413,289155,233235,136483,399333,281319,193349,142939,260566,256812,395270
Hungary,364369,423267,388148,411271,387497,389811,356757,421145,390005,328247,336815,389509
Congo,469104,345364,431219,437918,474867,420376,636935,384610,395588,395946,320592,387758
T?rkiye,314699,364343,320064,359272,403905,343557,362624,461189,436349,358329,261890,386478
"Venezuela, Bolivarian Republic of",106273,85674,37483,51796,16553,30063,45065,43588,52053,144461,222733,344605
Nigeria,148833,133787,99416,247063,174568,257680,225556,237177,355157,291347,128691,329485
Papua New Guinea,220819,346125,250313,262255,411220,182111,336031,250177,239590,303187,331684,304136
Romania,264269,240974,251974,222268,227143,244679,216872,219632,245410,211208,236444,283000
Pakistan,306088,312919,270090,290046,240413,340944,366310,310319,333037,300778,167585,236174
Ghana,79209,69089,183932,262469,174619,249144,24407,175910,115929,43947,184422,234730
Portugal,194700,223106,244856,237154,267383,268059,237732,214401,320592,257390,252804,232127
Area Nes,145736,170020,87064,146883,152300,156117,130083,126980,144814,167857,132209,220731
Uruguay,217270,228990,188053,248529,160771,174870,175791,210812,205793,251124,205908,207044
Zimbabwe,113994,218631,310145,229483,185872,142128,89740,129126,136150,173653,146887,204346
Belarus,306650,269470,328432,237713,136654,154631,153232,118466,204414,198865,105729,198502
Algeria,92271,7260,71045,38680,41456,211286,58336,58199,130460,28254,65476,183565
Brunei Darussalam,101375,144830,287573,135742,207919,170529,194482,234328,200344,144620,241278,166783
Uzbekistan,145004,160641,179689,192579,173192,147459,150771,165176,189282,119576,123941,164659
Cambodia,179425,174027,187370,151557,184891,163448,183868,188342,222286,199261,143907,163914
Serbia,101254,116963,200802,138271,171872,157479,151037,77086,152636,170401,102206,162818
Mozambique,84253,130456,145772,83006,156728,263953,121612,210567,274070,93901,151053,161860
Mauritania,92956,116101,79719,78053,102580,94385,64559,120840,112167,157319,55702,158825
"Libya, State of",407826,182650,174994,168063,84409,183633,161982,56153,106356,51416,89429,158714
Chad,1,0,240239,148385,248117,626,93406,2220,1,86112,76089,122679
Sierra Leone,66854,97001,77714,122497,82619,47684,66271,66292,102851,105733,92640,122510
Niger,54683,29247,21420,8639,5415,2434,2435,9381,41354,55514,73619,109309
Morocco,86051,85460,89027,70084,83107,73398,74612,85402,97434,75654,72147,105003
"Bolivia, Plurinational State of",130995,118586,108383,162627,120745,152756,131806,145824,108720,151468,97335,96444
Bangladesh,82341,80151,88183,90708,82402,85022,98014,87771,108275,123746,74281,89846
Namibia,57653,51979,41080,56839,40397,82909,5166,44750,86391,112389,24153,84622
New Caledonia,139023,96259,111014,154614,149732,139756,114764,131135,99839,112352,45328,84341
Greece,58937,110744,57517,54924,93183,54964,72947,36594,56851,46412,78654,74147
Ethiopia,35736,52478,47076,36304,35411,29024,31195,31181,38016,42247,22951,68656
Senegal,80444,48576,24808,7892,13207,6945,6754,12077,16753,16837,7736,62962
Guyana,791,3828,90680,9555,33055,93670,4668,4688,17751,82411,39003,61014
C?te d'Ivoire,121710,92216,71291,76788,75043,139725,64398,93543,77182,82084,46610,60422
Sudan,94903,80715,47668,23166,63977,12641,30292,78428,16660,41849,20516,59443
"Tanzania, United Republic of",36437,24087,36145,41664,112656,160555,115769,42973,41042,47018,41329,55139
Bulgaria,109815,129713,114250,149535,178069,84312,88173,130728,214602,160415,113918,51934
Estonia,24198,23862,31785,26609,33728,30509,34947,24540,27620,22379,21953,44198
Dominican Republic,44928,46826,29678,48515,40233,61158,54335,47608,52458,50321,42390,42977
Slovenia,38161,45478,40348,48858,40008,38433,37804,38393,49733,37613,32775,40520
Togo,14173,8662,9472,9068,6759,1677,3070,2227,2474,14780,47026,39672
Armenia,122517,61488,54294,58988,71224,102826,105370,68617,73263,42634,18118,39656
Greenland,13143,11822,15857,24172,19058,29068,49508,57460,55407,42231,31997,38665
Trinidad and Tobago,29454,45392,96536,64553,42032,44832,67471,102513,97458,17676,30461,36816
Malta,43439,40041,70632,50975,59861,54629,50272,47757,79050,31796,30181,34212
Botswana,36409,52874,11228,71726,32572,13394,56110,25491,26301,96376,47101,30611
Sri Lanka,29852,25132,30104,34974,25856,40350,22921,26760,27507,83213,21969,30452
Egypt,102933,131916,91011,41299,39904,46817,66762,52456,46522,130248,33014,30368
"Korea, Democratic People's Republic of",34206,23406,29493,25051,28234,27785,24816,26076,25354,34920,27283,30020
Solomon Islands,28133,38285,5913,39388,19904,16893,41214,21272,18408,43435,36561,29464
Luxembourg,20212,23206,22784,26360,17849,17546,19169,21915,29545,20803,27482,27252
Jordan,89547,50619,36015,67335,31365,45198,51607,44788,28760,48795,11008,24493
Tunisia,16515,20904,19525,20412,19896,19058,19539,19690,21922,22450,19846,23369
Latvia,19314,26863,25617,17837,22550,22061,24930,14188,19574,17575,14029,21810
Liberia,15763,1134,10917,8566,9515,9890,8356,9120,5553,416,14193,20756
Eritrea,28953,44171,17842,53757,16273,8566,47867,3,37924,28638,25306,20671
