List of supplying markets for a product imported by China ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on General Customs Administration of China statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2018-M09,Imported value in 2018-M10,Imported value in 2018-M11,Imported value in 2018-M12,Imported value in 2019-M01,Imported value in 2019-M02,Imported value in 2019-M03,Imported value in 2019-M04,Imported value in 2019-M05,Imported value in 2019-M06,Imported value in 2019-M07,Imported value in 2019-M08
World,195216329,182374979,182740526,164107379,179669676,131177981,165792733,179392962,171651237,161728618,176668969,179037498
"Taipei, Chinese",16874267,16149357,15063538,12751249,14640321,9842278,13572019,13516712,14118052,13445288,14833021,15626476
"Korea, Republic of",20581492,17932616,16402019,14128081,14888228,11362684,14619526,15832008,14741779,13153177,14480314,14492254
Japan,16243725,15256006,15317518,14018483,13718603,11091449,14304400,15507582,13163073,14012843,14599481,14375237
Australia,8761315,8499415,9578994,7312500,10246391,8086687,9332970,10054275,10089797,10257818,11929519,11839343
China,14092028,13017151,12326341,9992540,11511106,6571535,10217074,11429219,10406420,10230767,11439672,11754905
United States of America,12681756,11033699,10758594,10486976,9303499,8054586,11423686,10505600,10959612,9489276,11005051,10472051
Germany,9968559,8265706,9477379,7723983,9657371,6800981,8451853,9133829,9322659,8514826,9157934,9138100
Brazil,7864519,7611821,7035828,6388594,7078257,5701911,5209596,6883828,6708006,5341525,7602780,7152129
Viet Nam,7505643,7104659,6404734,5013236,4534108,2743850,4557111,4341582,4660240,4507633,5028380,6144218
Malaysia,6255112,5940542,4967744,4957204,5717067,3857707,5628366,5690290,6253670,6019000,6164668,6062992
Russian Federation,5617998,5952201,5761651,5258644,4997566,4191436,4624544,5269164,5389545,5338824,4798869,4991241
Saudi Arabia,3573371,4239685,5171478,4802238,4326227,3793156,4674426,4487658,3645119,4932366,4473856,4865321
Thailand,4211112,3849119,3694923,3354253,3931599,2783826,3664604,4187188,3817757,3610010,3946366,4166422
Singapore,2727346,2667466,2675026,2678511,2849249,2445978,2751802,3546983,2615505,2437828,2905829,3419126
Indonesia,3050584,2518108,2850646,2375842,2992549,2205201,2602276,2683527,2842577,2539786,3076754,3044429
Switzerland,3220918,2573962,2608637,1644842,2813302,1226276,2666702,3464242,1832899,1458960,1338540,2591978
France,3149608,2858023,3236122,3507480,3557717,2065987,2438132,2472747,2923515,2511393,2536269,2480108
United Kingdom,1799215,2074083,2307304,2001138,2195229,1465129,1760870,2035305,2128366,1855024,1831115,2201005
Canada,2758106,2442110,2097695,2208727,3179598,2100757,2363928,2709087,2556936,2451718,2079819,2089898
Iraq,1885807,2527514,2460989,1813263,1677579,1618148,1805333,1654222,2295451,1767006,1947136,2074012
Chile,2306813,1998964,2252538,2298797,3531402,2264465,1990261,2250683,1813891,1803290,1763253,2000779
South Africa,2142021,2282875,2055592,1964386,2091322,1960776,1955245,2887137,2179689,1745072,2659143,1983517
Italy,1856512,1519040,1715337,1663068,1992551,1136848,1703654,1896120,1883046,1721959,2034797,1856907
Philippines,2057317,1835510,1682368,1354800,1541528,1210064,1608783,1820494,1692618,1652467,1829582,1813585
Angola,1980768,2429773,2210129,2198434,2498939,2107970,1589582,2364011,2033307,2398632,1969106,1755614
India,1430236,1627641,1583458,1717062,1782045,1205575,1474269,1719605,1522047,1239475,1452933,1528382
