List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2017-M10,Imported value in 2017-M11,Imported value in 2017-M12,Imported value in 2018-M01,Imported value in 2018-M02,Imported value in 2018-M03,Imported value in 2018-M04,Imported value in 2018-M05,Imported value in 2018-M06,Imported value in 2018-M07,Imported value in 2018-M08,Imported value in 2018-M09
World,216498545,213218314,205657456,208933445,192201214,213698850,210881300,222298147,217181221,223081616,228066091,217341049
China,50057422,49922345,46146851,47575351,40648054,39835943,39874044,45945987,46551145,49105314,49869924,52154647
Mexico,28839669,27739122,25291022,26113665,26080017,30115480,28238090,29550765,29682009,28320805,31172013,29235713
Canada,26264094,26730149,25873327,26865950,24565623,27459820,27124907,28768903,28636022,27438667,28580576,26883831
Japan,12309746,11788149,12208761,11540162,11053655,13157355,12347132,11936810,11775370,12133217,12614483,10554292
Germany,10670554,10352762,10897754,9987709,10177349,11072435,10946157,11011196,10293625,11196377,10888550,9925926
"Korea, Republic of",6447311,6262539,6163786,5809223,5102741,6323648,6069934,6799208,6208829,6435596,6542938,6324942
United Kingdom,5105209,4847522,4859343,4625389,5023458,5249424,5024801,5165642,4680743,4902158,5045634,5065187
India,4749207,4167874,3740182,4590329,4034254,4604177,4963702,5302406,4327833,4781769,5255009,4668755
Viet Nam,4488649,4177887,3882268,4167696,3630347,4054432,3726976,4164883,4030507,4395047,5079690,4617667
Ireland,3604007,3869280,4901483,4582771,4493155,5106363,4781954,4262607,5008007,4889816,5184025,4582720
France,5198854,4735399,4523459,3686586,3912298,4799833,4897958,4521343,4408322,4756207,4276587,4023720
Italy,4732364,4640959,5257839,4419230,4072857,4492139,4786078,4994948,4774090,5018701,4917818,3902576
"Taipei, Chinese",3916649,3773765,3646856,3895689,3318027,3579925,3643754,3916571,4003208,4068695,4021951,3804680
Malaysia,3257566,3622342,3295658,3002101,3200253,3246709,3453248,3698260,3187730,3303275,3566412,3337183
Thailand,2970242,2827255,2811742,2742226,2296412,2718781,2802326,2799293,2716628,2968160,2820678,2859168
Brazil,2587433,2899761,2434744,2846782,2085812,2440443,2652271,2480554,2734114,2852887,3382448,2726415
Switzerland,3230768,3278564,3235411,3296038,2923704,3417540,3744534,3661592,3723532,3433557,3271580,2649197
Saudi Arabia,1158752,1471727,1490612,1519343,1321337,1638356,2070944,1827753,2026897,2058191,2479420,2453373
Singapore,1864139,1596948,1473072,1818253,1723810,2342314,2371291,2524302,2305978,2672712,2147585,2427483
Russian Federation,1543643,1520925,1449268,1622105,1297893,1881609,1470323,2048846,2041451,1952794,1906008,2291036
Netherlands,1681861,1599487,1916178,1691943,1582981,1932222,2208006,1834137,1803315,1817873,2118222,2073978
Indonesia,1874162,1765010,1692126,1880661,1770827,1783250,1845850,1923766,1725718,1706566,1946782,1816820
Israel,1700695,1816289,1763968,1830613,1534487,2081831,1607968,2619628,1776040,1863478,1861158,1504315
Belgium,1564490,1301162,1321100,1305365,1242479,1543781,1541703,1758319,1572886,1620644,1283830,1465813
"Venezuela, Bolivarian Republic of",948041,975065,743755,924916,763895,988910,1112755,934947,1283392,1284703,1256471,1375720
Spain,1319543,1551316,1509951,1446909,1566436,1554889,1714224,1531713,1657173,1728864,1595919,1093309
Austria,1050173,1117199,1105515,919084,935157,1247955,1103874,1087152,1143450,1246044,1284264,1055897
Philippines,1022996,1079307,951333,1020974,955595,1094426,997099,1037240,1004290,1108272,1037589,1054630
Colombia,1019221,1269737,1152387,1566165,1270794,1238927,1040716,1425971,918198,1177710,1233213,972161
Chile,823535,803079,873930,1285089,1220649,1393296,1098858,1022789,916045,943281,887051,938689
Australia,737744,773640,871621,868983,618242,863367,899604,881070,818795,934650,947054,877526
Iraq,1058801,1161619,936929,1277759,1202712,1067977,1593658,1177174,835559,1404578,481277,871652
Sweden,1018841,1020200,1064307,895998,962217,1204989,1080029,1116585,1039418,993040,753586,860956
T?rkiye,911655,850700,814347,895511,706562,934412,957723,887881,941807,940650,980457,808221
