List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2017-M10,Imported value in 2017-M11,Imported value in 2017-M12,Imported value in 2018-M01,Imported value in 2018-M02,Imported value in 2018-M03,Imported value in 2018-M04,Imported value in 2018-M05,Imported value in 2018-M06,Imported value in 2018-M07,Imported value in 2018-M08,Imported value in 2018-M09
"Hong Kong, China",694930,535398,573969,537616,441612,536672,821344,592130,581458,403983,472923,757041
Peru,734460,811034,716576,941755,679080,662705,525424,609266,490932,722754,665114,717937
Poland,693759,686638,625194,643374,598267,714007,755104,687624,661488,701554,713809,705920
Denmark,821410,576560,670969,694724,710917,775983,689343,858998,690640,665565,829873,678936
South Africa,728699,666260,784547,658177,537713,796383,700311,718986,723486,751052,724138,655646
Finland,652272,563673,550209,572485,597323,731635,617662,619408,660799,566146,636142,630151
Bangladesh,483381,444540,393366,572757,523574,493177,522915,517079,551140,584740,522483,571706
Ecuador,552651,566147,644935,556062,461988,587747,572219,582606,543479,824765,563559,526620
Norway,469567,439122,344917,452273,457425,617588,654739,570878,602000,704109,419646,521680
United Arab Emirates,369792,391676,370287,303037,378022,522326,421977,418887,510399,400229,406162,488222
Dominican Republic,428631,470802,385584,323199,410372,466019,472523,563342,444346,510789,476075,444134
Slovakia,259605,314588,325482,205296,153433,258846,269858,340284,297978,389640,226515,441943
Algeria,237386,194759,319037,460597,365495,281666,462288,326120,264603,512339,452697,427397
Hungary,430443,482485,459710,395312,387077,460785,426587,465776,444754,467095,409215,403316
Honduras,353158,399234,305948,345361,422761,437090,418817,448385,416506,414135,431766,402442
Czech Republic,427815,424694,414521,406643,386920,459182,438266,436523,458895,418935,434744,401413
Costa Rica,427220,421156,359534,356639,414821,437041,394971,496667,464600,448176,421898,394579
Cambodia,308326,252176,247626,337791,305863,293074,309044,272075,259431,409243,389552,387960
Argentina,388959,485901,391586,357308,458203,487042,342913,451614,363431,374065,426019,347001
Guatemala,332378,314941,302796,370408,359295,444778,444099,394113,358919,373617,417666,343998
Nicaragua,289452,278639,236859,262418,311751,329725,294566,340392,251442,319458,361977,308253
Portugal,311732,292407,350774,313055,261121,328909,363824,445635,371533,370367,418393,305724
Pakistan,318943,334526,282627,331446,283213,309181,332819,352252,298284,337252,347944,298770
New Zealand,283694,260234,353982,365515,349694,414331,347183,416331,458409,445608,342550,273004
Trinidad and Tobago,236769,219407,304768,349099,284432,394389,254794,368042,263527,338392,276656,272576
Sri Lanka,287898,269013,215367,284828,221074,232965,249324,195978,197171,226069,240670,249961
Romania,233545,183253,168688,213884,213831,240625,215888,216469,221304,198040,270494,248448
El Salvador,213640,215437,199724,185716,196620,223514,181635,224156,224468,245407,245783,217619
Nigeria,949676,857843,555953,805249,671290,343654,650327,600403,504972,223694,294254,209151
Angola,272484,114678,295819,146034,67921,67367,456207,166164,465854,600685,326275,193827
Jordan,174644,115323,130074,159266,133894,144030,147307,153405,116550,171522,204135,186587
Egypt,150269,127223,148283,136401,134307,213626,209206,210253,242781,284184,311717,167279
Greece,117538,117962,99711,128790,100052,134360,136986,150696,130348,182494,153067,147491
Qatar,127098,174918,110522,148280,130730,160134,103144,157232,135627,178504,115040,145131
Kazakhstan,71230,83779,46140,94889,47572,108165,91580,154229,94936,186520,261475,137414
Morocco,110980,92680,85057,150722,133160,162313,157228,71852,113912,88990,170692,123735
"Libya, State of",284040,168030,109487,243074,5845,180527,131354,76589,137620,101467,48895,123174
Kuwait,133689,245912,219415,261899,249406,215422,231450,154613,257143,53124,179256,111128
Oman,194440,138823,60227,92496,95888,124946,133284,145939,84683,107156,121892,109894
Kenya,50283,43479,45215,48049,52699,45254,44861,40636,31049,71776,61842,109243
Ukraine,111062,105632,44576,104115,111543,81155,105413,180474,109960,136467,122335,108297
Estonia,50350,49713,59088,46658,38086,52326,54162,71584,86207,75413,102914,104533
Lithuania,77562,177614,153647,133166,113283,157031,130915,130268,77832,111445,118188,99856
C?te d'Ivoire,43694,39191,141782,168244,155894,134937,93107,113249,37797,77071,189427,90199
Haiti,85563,82405,71449,57069,75250,78410,85485,85821,83997,92704,98524,83073
Bulgaria,58671,65897,54609,76865,58045,109252,61306,62392,134230,98402,115526,75363
Bahrain,114361,93268,79324,94135,73880,81625,106179,89337,63177,77006,98331,75296
Slovenia,71829,71489,67158,63750,60455,63975,74862,76193,75856,82414,84057,70643
Equatorial Guinea,70817,11676,2546,15320,14055,170662,54163,95301,57083,17766,14319,69751
Bahamas,28362,47316,48679,23886,30197,38888,49673,66671,22318,17395,18143,64410
"Bolivia, Plurinational State of",68128,36773,37791,50366,38500,27184,17694,53050,44184,24118,47251,52532
Latvia,52158,36216,31544,89050,25514,54649,38368,83788,84621,56525,97067,51768
Myanmar,43214,36203,30361,34003,33033,28857,39342,40459,29846,53081,49880,47004
Luxembourg,45996,49260,44484,53604,42613,49704,43088,50228,38148,54687,47619,46931
Azerbaijan,44589,5556,1471,122433,1091,76446,2125,84654,119355,30518,18261,39050
Uruguay,45974,38676,41811,37925,28111,45737,50648,49407,31499,68776,51902,37570
Madagascar,33057,90577,70704,97201,84327,106504,92108,107464,43294,58745,62374,36784
Ethiopia,25364,20827,20581,18688,25672,30986,37939,52097,47216,43774,50381,36560
Iceland,62597,38221,34872,44940,39098,38660,34438,36412,36205,32821,33924,36283
Croatia,32200,44594,52333,29203,38460,37470,47893,41827,32341,46955,36555,34807
Panama,38151,34753,29653,31994,30315,33888,33860,46966,46198,37974,38211,32848
Serbia,26122,27013,31656,27738,29446,21070,27403,22007,32784,27727,33666,32746
Tunisia,31652,29210,44411,47976,84934,58121,68720,54499,48020,44254,112281,32568
Jamaica,21465,51841,22646,29995,29817,29975,32722,30613,35799,24080,39427,30062
Botswana,122569,118683,157931,44162,15765,39585,18406,47941,60826,23675,17136,30035
Lesotho,38194,24365,30229,31445,21408,76201,27025,34276,42442,18754,36351,29937
Mauritius,32002,30856,23101,23830,20103,19897,28747,30626,21645,32105,35259,26783
Fiji,23872,16937,21654,21630,15749,26815,19690,18478,23668,21233,22555,24841
"Macedonia, North",24726,33067,19386,32252,27639,31795,19246,22053,37654,37792,21355,21754
Gabon,50332,922,5383,11333,45240,548,3653,93597,1987,98305,7440,20989
Congo,4727,32182,12896,7551,68834,7412,27358,53040,42067,100796,89883,18230
Brunei Darussalam,1883,1920,795,1136,889,922,630,965,1296,1166,63795,16756
Malta,13169,13813,11926,11958,12961,14589,14964,16001,14055,12799,16972,15837
Ghana,66393,46162,115593,33478,20834,114772,53834,71657,72779,126319,52414,13914
Papua New Guinea,7351,6485,6384,6180,4659,4185,4074,3973,5697,7542,10258,12280
Zimbabwe,4194,584,11957,2859,805,2563,3600,7965,945,14743,10536,11748
Namibia,7839,16673,9141,6068,6010,20453,7696,9105,13303,7185,8455,11359
Cameroon,8509,7433,8425,17338,31738,11406,69915,7459,6483,8654,6104,11309
Senegal,5225,8125,5633,6551,18298,5584,11707,11552,10190,16892,6155,10945
Lao People's Democratic Republic,9222,9043,8324,9940,11998,9791,10995,12476,8459,10827,16485,10872
Belarus,43895,21467,22253,26900,43499,48856,38912,33793,37731,33739,45747,10583
Cura?ao,8012,8219,7565,15047,51166,20209,11479,12291,5684,9665,12057,10400
Nepal,10412,7371,6329,8170,8601,9531,7393,8259,7165,7699,9777,9842
Faroe Islands,12655,10741,10132,9542,11798,12410,11323,10268,12045,10876,8636,9381
Paraguay,16572,13786,10177,9040,7784,8409,8447,9164,7370,10415,12314,9190
Lebanon,8561,17879,9096,6674,6154,7831,7392,17515,6723,9245,9903,8732
Suriname,5945,6924,4781,5321,4213,8700,4774,8270,11033,6387,10363,8475
Bosnia and Herzegovina,9399,10053,10203,7070,11854,10149,7161,9425,12271,6980,8626,7982
Guyana,19013,27479,21919,15871,21048,34176,25287,37868,29851,33670,21138,7356
"Macao, China",8841,8339,8607,13326,5950,7822,10561,8833,10594,8765,9396,7329
Albania,3048,3269,5034,5986,6611,6190,4147,4466,5451,6823,5842,6949
Mozambique,20021,8463,29163,12672,7132,3384,9681,12380,11456,5623,9943,6648
"Tanzania, United Republic of",8491,7137,7058,8647,8290,10016,11029,10033,6727,6598,6634,6258
Zambia,5232,6141,14890,5281,3978,2333,38171,29534,38376,17879,9639,6182
"Congo, Democratic Republic of the",3212,6235,1804,9520,12110,2088,3346,3098,3378,3413,1360,5402
"Moldova, Republic of",3465,3699,3973,6762,3236,4623,4973,5012,6591,6452,3987,5048
Uganda,7907,4418,8119,6523,7086,7101,5698,4687,5838,6538,6448,5019
Armenia,9386,4233,8748,8434,4330,6356,6964,5350,2382,5603,2949,4881
Rwanda,6780,4461,9518,7486,6161,5787,5111,4547,3811,4567,2213,4788
Cyprus,2291,3138,2609,6371,5408,11193,6662,5560,7920,7123,3624,4566
Barbados,3984,3836,3329,5052,3430,4939,4187,4436,3888,3920,5641,4430
Belize,5916,4108,140822,1821,2419,5198,17683,162813,6172,3653,10533,3822
Georgia,30895,3163,4367,26209,5955,16102,23239,4701,33049,8153,29580,3779
Saint Helena,1458,28,1093,32,1309,443,3479,2457,48,395,101,3689
Liberia,36873,9265,5361,750,7902,6959,8356,6368,6274,3280,8775,3528
Saint Kitts and Nevis,3878,5091,4668,4847,4808,3769,5105,6095,3880,4453,3501,2904
Cayman Islands,2416,28514,1920,1978,1841,3647,2302,2187,7189,1497,2040,2792
Malawi,7794,3113,2721,3738,3110,4111,5033,5491,4071,4257,4168,2624
Maldives,3574,4210,3883,4525,2823,4008,4100,2111,1377,1136,2207,2587
French Polynesia,2712,3775,2083,3208,7793,3204,2277,3022,2810,3222,2535,2529
Uzbekistan,535,819,1243,1165,1409,938,3511,1049,2517,2795,976,2462
Djibouti,2443,3553,2693,2065,1219,6016,8310,2432,4989,1600,5662,2413
Aruba,11815,1508,4946,1056,2431,1689,3967,1273,1264,4852,6276,2357
Sierra Leone,887,11997,1392,3679,4166,3440,3791,5633,8535,4929,2833,2094
Bermuda,4732,1817,2001,1658,563,1246,2641,1876,641,1183,954,1698
Sudan,652,1180,1636,1658,2375,1205,1293,580,1455,1411,541,1693
Niger,574,2111,249,799,550,1599,2666,502,5087,2664,5673,1632
Burundi,85,1319,1317,661,1342,1599,1092,739,712,919,527,1589
Turkmenistan,2839,846,356,395,726,1194,3321,428,148,420,2880,1528
Marshall Islands,1274,930,24590,1109,1353,3539,1239,1298,6740,1627,895,1509
Mongolia,587,823,603,592,1017,807,658,289,1028,705,1359,1494
Greenland,4635,1196,8,970,2457,2236,817,1089,2786,1651,798,1349
Benin,1402,2180,2143,2315,1092,2863,597,2674,1656,1937,2011,1324
Burkina Faso,721,195,501,198,1096,269,251,595,104,234,331,1135
Afghanistan,879,856,2388,4847,1291,2866,3871,1519,2993,542,2541,1102
Grenada,1014,1093,802,1167,962,1948,1250,2135,1932,2355,893,1092
Mauritania,3805,358,523,173,481,545,5716,915,349,357,1027,976
Kyrgyzstan,540,573,583,306,752,568,937,605,456,830,306,956
Eswatini,14065,404,1222,174,641,546,182,356,1417,594,482,934
Saint Lucia,1049,3740,3556,894,3997,3956,819,945,2330,4672,1267,909
Timor-Leste,260,659,155,541,192,8,11,1,149,137,614,868
Togo,1536,2170,419,616,874,850,892,3976,1390,841,590,840
New Caledonia,6977,7813,5132,7974,5125,3257,6165,5365,7867,3636,8202,736
Turks and Caicos Islands,765,230,1545,767,536,1138,806,916,775,606,729,681
Chad,67403,168444,31257,135175,99,61228,417,108,74681,735,144241,650
Seychelles,1911,818,372,595,444,796,381,739,660,505,755,557
Kiribati,397,374,373,244,162,299,101,167,171,405,197,552
Saint Vincent and the Grenadines,257,115,172,283,225,317,397,638,456,488,453,529
Samoa,246,619,309,322,518,461,759,491,1220,458,774,519
Anguilla,194,423,405,1634,221,217,317,168,315,219,334,472
Mali,190,136,111,358,450,28,850,175,565,238,313,446
Andorra,1971,2370,2411,1931,1034,655,1242,1808,1264,390,1060,384
Vanuatu,413,577,237,497,1149,766,292,724,554,1054,362,359
Guinea,881,896,1068,549,423,246,401,1662,202,252,756,356
Antigua and Barbuda,667,249,518,175,378,392,193,1039,200,229,366,355
Solomon Islands,678,16,527,543,189,137,240,69,295,749,556,354
Tonga,370,436,327,319,150,252,144,340,371,358,437,326
Syrian Arab Republic,338,882,809,695,438,272,607,539,400,518,689,317
Yemen,71,583,118,43,183,21,530,14,113,193,340,297
Tokelau,74,250,14,402,110,175,81,15,521,186,45,257
"Palestine, State of",658,534,838,574,1010,253,365,585,457,695,219,251
Montserrat,29,69,18,584,67,40,15,157,39,66,112,218
Central African Republic,431,446,263,286,175,154,58,118,350,120,489,203
Tajikistan,73,72,19,85,121,113,14,29,9,2,32,197
Cocos (Keeling) Islands,45,85,9,129,65,431,158,661,165,1,346,161
Montenegro,194,380,593,270,380,252,48,236,372,1807,100,151
British Virgin Islands,1334,230,433,2281,1876,270,10200,462,2011,900,627,133
Sao Tome and Principe,248,33,73,51,38,109,19,34,59,18,10,102
Gibraltar,167,73,44,33,72,157,36,29,22,5,10,100
Cook Islands,250,311,35,77,10,83,204,198,82,38,141,91
Norfolk Island,0,105,159,0,64,131,73,71,0,150,80,70
"Micronesia, Federated States of",84,36,258,109,68,25,34,116,39,32,57,69
Palau,40,87,63,98,18,692,40,237,64,42,9,65
Gambia,115,345,90,59,46,36,51,64,4,19,77,52
Cabo Verde,92,528,199,303,142,310,409,355,165,192,480,45
British Indian Ocean Territory,4,4,5,3,22,47,6,2,1,3,0,27
Dominica,46,34,93,383,22,24,210,135,274,49,100,26
"Iran, Islamic Republic of",3319,4917,8542,4907,2517,6344,9374,8087,6980,26418,7468,24
Niue,19,9,2,5,54,49,34,18,67,48,16,20
French Southern and Antarctic Territories,2,0,0,0,3,0,0,0,0,5,0,18
Christmas Island,30,43,313,41,63,66,2,94,441,3,19,14
Eritrea,1,0,114,2,0,9,21,78,76,0,13,13
Nauru,347,21,151,286,15,407,72,161,135,248,49,11
Comoros,102,1,151,1324,93,200,0,828,275,124,18,5
Cuba,0,0,0,0,0,0,0,0,0,54,780,5
Bhutan,53,43,28,4,5,50,258,86,14,116,22,5
Somalia,1,76,71,47,331,121,118,3,13,471,45,5
Falkland Islands (Malvinas),6,101,1319,625,4,159,4432,1112,4152,2642,0,4
Pitcairn,3,3,1,0,0,7,5,0,1,0,1,2
Western Sahara,0,0,0,0,9,9,0,0,0,0,75,1
Tuvalu,11,10,2,0,6,5,1,53,1,13,5,0
Wallis and Futuna Islands,0,0,7,0,0,0,3,0,0,0,15,0
Guinea-Bissau,1,5,0,0,1,0,0,21,3,0,19,0
Saint Pierre and Miquelon,0,0,0,0,2,0,0,0,0,0,11,0
