List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2018-M09,Imported value in 2018-M10,Imported value in 2018-M11,Imported value in 2018-M12,Imported value in 2019-M01,Imported value in 2019-M02,Imported value in 2019-M03,Imported value in 2019-M04,Imported value in 2019-M05,Imported value in 2019-M06,Imported value in 2019-M07,Imported value in 2019-M08
Sri Lanka,249961,252610,218216,224473,294424,241142,262322,227519,225268,196402,266247,231685
Trinidad and Tobago,272576,359394,235550,481400,379154,307395,408885,328455,288735,258309,361027,227255
Romania,248448,247521,215434,194877,191944,199399,222714,214652,216396,187279,236014,215225
El Salvador,217619,238296,188429,210399,177650,192270,208363,201819,210804,226575,278861,202256
"Libya, State of",123174,130333,84391,184304,134815,115801,32637,263686,226921,121957,19965,175031
Kazakhstan,137414,128915,90281,43233,65117,80356,117639,176669,109248,118085,138536,156064
Algeria,427397,493385,283812,451234,218305,112525,401090,360259,469016,292841,188188,151617
Ghana,13914,18696,14976,19406,107464,87317,112696,71371,40493,203041,56514,140843
Morocco,123735,186176,84344,172773,265508,145677,141525,120530,83761,102176,154066,140270
Greece,147491,159370,157588,141796,149475,100084,132686,127851,132010,164696,201637,126729
Latvia,51768,52666,71717,38430,34472,50231,89865,51436,73149,54851,56057,126628
Qatar,145131,135426,92010,118022,299234,245794,185274,176184,94131,135497,117194,116226
Ukraine,108297,129366,121473,114249,140827,105264,136579,106771,125198,125369,114236,104981
Oman,109894,124839,105363,95990,97323,90855,103481,146870,133806,90290,87885,100722
Estonia,104533,116623,128160,103711,110906,76866,85127,105766,100169,122053,86236,95162
Kuwait,111128,166008,197459,49255,114859,164873,377720,188165,118443,65495,67255,94606
Haiti,83073,107571,75032,89335,65987,66474,105340,104179,102851,76604,125343,93111
Myanmar,47004,54264,66045,35680,47564,61519,64985,52275,65508,53855,73113,80850
Slovenia,70643,86484,64486,73556,81132,67015,86782,92516,79736,72979,87705,80426
Bulgaria,75363,82625,79349,64825,71994,100369,83601,82045,79283,62124,72807,80142
Bahrain,75296,94595,100969,70589,118251,77268,81069,101836,109629,98247,107280,79641
Angola,193827,173518,96869,8111,18145,3039,82559,102195,100428,202377,29129,78488
Lithuania,99856,86665,98991,60567,95889,103072,88807,61634,112867,58286,127072,75715
C?te d'Ivoire,90199,73003,64122,96031,97946,134679,103673,124462,107161,43374,73778,70364
Ethiopia,36560,48648,32570,33864,43567,27925,43382,45533,61999,49569,56576,65431
Kenya,109243,58697,54830,41089,57436,42149,53303,49589,70711,52212,70287,64543
Madagascar,36784,68483,61552,87515,102389,73288,101055,86162,93375,58905,62427,56577
Panama,32848,37561,36317,30620,34782,29811,28588,31026,56076,36391,44336,49328
Belarus,10583,32431,36070,30915,68879,40235,6342,51444,24869,37937,34760,46679
Luxembourg,46931,50278,45870,50384,48256,39697,83268,61508,51090,58886,60824,43703
Mauritius,26783,29793,31319,29781,27377,27730,28043,32012,28236,25167,36294,41918
Uruguay,37570,49731,39432,41559,44300,30940,43114,52696,54747,49094,55675,40189
Tunisia,32568,42940,35247,38722,42854,42266,41102,50667,44611,36056,41631,35919
Bahamas,64410,27727,89898,48623,39407,36664,31228,26381,34789,21130,58359,35421
Croatia,34807,50970,40881,42801,46397,32383,48555,77709,49706,47589,50252,35198
Serbia,32746,30063,26801,29226,27622,24121,23486,23540,29783,25337,31844,34377
"Bolivia, Plurinational State of",52532,62221,41429,36040,49730,45667,36935,34135,38737,31346,51612,32475
Iceland,36283,40726,45078,41457,38851,40559,47657,51817,47397,36842,37620,32406
Fiji,24841,27026,31217,22087,33832,12175,25689,23179,14582,17492,24707,29015
Jamaica,30062,34663,46075,29622,33381,30570,31785,25625,53972,34283,34149,26824
"Venezuela, Bolivarian Republic of",1375720,1374392,1147004,1091391,1032781,425777,163137,178173,51676,27832,22177,24418
Lesotho,29937,31154,44437,36730,37610,20111,22198,26951,21932,24170,30701,22379
Paraguay,9190,27997,14924,12958,14639,10659,16172,10643,11115,8493,12914,19610
Botswana,30035,14325,137232,19787,20911,10869,28261,14819,35653,11218,32012,17378
Georgia,3779,4373,41057,2401,7663,18637,18379,6369,27579,4695,15719,16141
Gabon,20989,1300,13911,515,4012,3141,18226,16426,14771,488,2814,15057
"Macao, China",7329,6837,9256,5560,7133,20112,9679,4441,7462,4973,5872,14572
Equatorial Guinea,69751,57,150,97603,77140,4367,10443,13692,67024,43438,15299,12896
Cura?ao,10400,14122,19746,21838,21410,21493,10738,23670,15904,13790,7786,12407
Guyana,7356,7176,17561,10258,12595,9385,9738,13964,14085,13404,14228,12310
"Tanzania, United Republic of",6258,9473,8776,6841,12121,5926,12763,10990,16485,10013,9391,12240
Lebanon,8732,10253,11725,9839,29832,7675,9861,11646,18555,6052,13317,11492
Lao People's Democratic Republic,10872,13757,15206,15676,19699,13978,13395,7326,18432,16057,8369,11145
Malta,15837,16294,25684,17397,12692,15398,14974,14589,11898,13310,23851,10919
Bosnia and Herzegovina,7982,8096,5627,11223,9075,9265,8626,9425,7211,7866,12296,10676
Faroe Islands,9381,15880,13811,13970,15813,12797,14227,16050,16858,14288,13947,10617
Belize,3822,7947,3754,3202,6073,2374,4546,4530,3506,8678,4334,9522
Nepal,9842,16057,5847,6804,6674,7196,7461,8618,7411,8038,9109,9191
"Moldova, Republic of",5048,4106,3776,4129,3772,4543,4676,4479,6129,5339,6127,9157
Brunei Darussalam,16756,4136,1392,8957,2202,8573,1884,7927,1463,7228,552,9042
"Macedonia, North",21754,32417,39334,37672,27699,32232,27760,26617,25374,17398,22215,8782
Senegal,10945,16774,9098,8248,10647,11204,12077,9876,19558,8394,8815,8611
Uzbekistan,2462,647,764,781,859,1263,753,16574,679,2051,1028,7464
Namibia,11359,14888,7314,8104,2425,11768,13777,26778,7820,26587,7789,7414
Uganda,5019,3461,6531,6453,4967,4012,8103,8372,7040,7576,6934,7266
Suriname,8475,10479,7067,6884,8849,9271,6627,4715,11110,9294,6170,7113
Liberia,3528,6685,4328,2147,5574,5611,7032,6597,5010,6440,6450,7099
Rwanda,4788,6354,10298,7305,6747,1508,1733,1563,1661,2113,4098,7014
Cameroon,11309,43184,7864,7737,11544,22071,10109,29859,5975,84951,7921,6764
Malawi,2624,8964,8268,5488,10546,5990,8934,6014,7057,3882,5195,6477
Afghanistan,1102,3547,3558,1080,1786,3106,3845,4976,9983,2902,2257,6183
Mozambique,6648,22356,6935,6902,12346,13271,13087,5808,16353,12730,13657,5700
Zambia,6182,20107,11490,8044,6988,8443,6596,8365,23789,3124,2191,5688
Albania,6949,5754,5989,6141,6941,3381,6377,3838,7219,5512,3176,5656
Papua New Guinea,12280,10085,14728,9152,7866,7183,2811,3451,6805,4236,5369,5473
French Polynesia,2529,3334,3563,2730,2938,2652,4184,3054,3252,2911,2161,5391
Zimbabwe,11748,7423,14741,1137,8469,1810,1810,6412,1536,1238,1044,5354
New Caledonia,736,4161,762,4089,2313,5565,5779,3321,4052,3674,1453,5267
Djibouti,2413,2825,3129,7454,2378,1779,2023,698,2115,3465,2585,4651
Armenia,4881,2554,3446,2883,2997,2230,1863,5282,10025,5161,4954,4180
Saint Kitts and Nevis,2904,5438,5271,3769,4766,4221,3524,5273,4378,3371,3655,4135
Cyprus,4566,4465,4932,2188,5097,2398,4879,5305,4928,4750,4265,4026
Bermuda,1698,4173,1348,736,1994,1976,3743,1438,693,1011,1130,3274
"Congo, Democratic Republic of the",5402,4258,1419,854,1285,542,589,3796,2073,909,1245,2826
Barbados,4430,8019,6226,3131,3162,4438,4413,4638,3960,3631,3669,2749
Guinea,356,535,800,705,265,900,384,308,1006,268,532,2227
Saint Lucia,909,953,2477,3441,914,751,887,2225,1175,784,1024,1711
Congo,18230,1382,19820,9051,75624,13095,127431,2424,200187,67546,78311,1691
Sudan,1693,2406,828,1154,1717,559,43623,781,498,28916,14954,1561
Maldives,2587,3787,5097,2705,4165,3417,4791,3713,3174,1630,1652,1400
Gibraltar,100,12,2,1,59,14,2012,6802,732,40,19,1399
Mongolia,1494,753,928,920,1344,493,846,659,533,12831,1333,1392
Togo,840,982,1341,593,430,1471,1415,741,735,1153,613,1363
Solomon Islands,354,389,367,443,331,17,84,159,1037,809,930,1318
Azerbaijan,39050,15122,455,6289,1710,3761,1916,2391,759,3370,2075,1272
