List of supplying markets for a product imported by China ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on General Customs Administration of China statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2020-M07,Imported value in 2020-M08,Imported value in 2020-M09,Imported value in 2020-M10,Imported value in 2020-M11,Imported value in 2020-M12,Imported value in 2021-M01,Imported value in 2021-M02,Imported value in 2021-M03,Imported value in 2021-M04,Imported value in 2021-M05,Imported value in 2021-M06
World,175818117,176384962,202505758,178262730,192003603,205025871,201979919,168453365,228247850,221771285,219465329,229994751
"Taipei, Chinese",17211926,18529534,20822412,18726263,20073732,20182261,18852860,14561323,21140429,19318821,19125433,21219401
Japan,15242357,14171763,16934713,14880116,16102511,18137917,15364223,12996102,19174195,18410314,16592578,18395117
"Korea, Republic of",15126732,14305143,17446944,14791320,16102118,15968664,15805854,13581994,17785789,17552782,17124830,17798289
Australia,11273274,9158629,10474183,10214529,9627816,10183658,11214316,10829632,13386371,15169396,14315767,15355780
United States of America,11407401,10715479,13330803,12465938,14626614,16732195,16164957,13354278,17463750,14085503,13211531,14444503
China,11227003,10569353,12784732,10614715,11980759,12731445,12218583,8600120,12729438,12737350,11933051,13362509
Brazil,8316140,8992419,8771791,7674779,7198596,6741114,6841434,6602429,7433284,8731904,10795473,11778707
Germany,8796235,9117268,10647148,9034990,10436556,11877488,10156148,7959909,10284185,10479136,10565453,10625196
Malaysia,6335908,6526433,7445154,5950370,6680474,8106212,7559909,5725926,8448963,8127341,9234517,9059984
Viet Nam,5559144,6094320,8761106,7954861,8639470,9271358,7838770,5957811,8063261,6843008,6973299,7766539
Russian Federation,4794106,4517731,5419380,4612770,4522546,5192978,5035580,5025780,6323991,5693253,5691693,6223699
Thailand,4109723,4019129,4799421,3908183,4127081,4636726,4581271,3374982,5269654,5431103,5977105,5517264
Indonesia,2897176,3122930,3450912,2903951,3457915,4354533,4216331,3506565,4672105,4606134,4532752,4846301
Saudi Arabia,2327839,2609866,3689219,2906014,3705904,3308475,3871415,3810938,4731324,4060104,4450060,4617192
Singapore,2486520,3558435,3119301,2421851,2680125,2808694,2978803,2478238,3363427,3396543,3293809,3391810
France,2449314,2302041,2758780,2576493,3035404,4088654,2821004,2435278,3175947,3635540,3536804,3360512
Canada,2265069,2011289,2116699,1792783,2061762,1813038,2198066,1764160,3009506,2580455,2401671,2996800
