List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2020-M07,Imported value in 2020-M08,Imported value in 2020-M09,Imported value in 2020-M10,Imported value in 2020-M11,Imported value in 2020-M12,Imported value in 2021-M01,Imported value in 2021-M02,Imported value in 2021-M03,Imported value in 2021-M04,Imported value in 2021-M05,Imported value in 2021-M06
World,206367636,209541898,212799022,226403330,219508620,222296570,211476064,200213038,245127744,234746485,238811880,251320808
China,42601938,42852066,43314809,47080432,47150109,44118823,41307505,36029062,42624888,39868723,41138149,42648924
Mexico,29359368,30078434,30160502,33445352,30166953,29886439,29366450,27712866,33721244,32494032,31669450,33325369
Canada,22905705,24326354,25158566,25477896,24714055,25403944,25169034,25921012,30513110,28121674,29763704,32873157
Germany,8941389,9958550,10998315,10591227,10049823,11175629,11034451,9444295,11762730,11369333,11424961,11812322
Japan,8505706,9925662,10160090,11504056,12022788,11718578,10613836,9573660,12588590,12810207,11823012,11718386
"Korea, Republic of",6046914,6334013,6090745,7521655,7103273,7586395,6762902,6423513,8298922,8415833,8236363,8786556
Viet Nam,7826041,8710124,8293788,8336499,8277871,7294416,8075352,7125155,9281502,8398817,9098023,8632028
"Taipei, Chinese",5477728,5300987,5737003,5807620,5648658,5916387,5609203,4656451,5930471,6500073,6670822,6939398
Switzerland,7796011,6514116,4818454,5226687,5038186,4755429,5074480,4956140,6321364,4250211,4818395,6536888
India,4289598,4484550,5199188,5624497,5150440,5115696,5447157,4703042,6194865,6291287,6338503,6137718
Ireland,5436913,4894062,5413022,5776433,5344866,6185772,5118903,6385013,6059572,5610291,5748112,6115132
Italy,4216994,4414544,4087881,4471122,5245828,5061633,4520918,4291258,4827546,5136316,5338525,6086306
Malaysia,3498335,3945417,4244406,4468530,4187663,4545267,3903167,3696412,5591357,4704495,5237974,5275944
United Kingdom,3986467,3860374,4264627,4307569,4490000,4990437,3998331,3959231,5184867,4708763,4780025,5272159
France,4829621,3894293,3358523,3416791,3854002,3990579,3903419,4398994,4197919,4596480,4021595,4447527
Thailand,3179732,3457479,3586195,3727744,3540834,3442915,3478967,3249021,4223013,4027658,4627113,4352859
Netherlands,1750231,2417260,2584919,2279177,2507974,2590432,1842240,2072875,2637746,3132222,2819023,3057463
Brazil,2014122,1782602,1896400,2405628,2045346,2715942,1861405,1770648,2257744,2454874,2551632,2972545
Russian Federation,1337434,1298240,1350133,1620774,1611740,1475974,2046697,1765519,2644500,2613971,2839147,2814426
Singapore,3366032,1996906,2187685,2301538,2013878,2898145,2356002,1801403,2978779,2554455,2561510,2635135
Indonesia,1498571,1829951,1815487,1935611,1828712,1836769,1869536,1701034,2194676,2496529,2512710,2268278
Belgium,1585518,1552709,1652249,2061051,2019170,2220247,1745339,1872543,1891293,1851015,1619351,2003317
Israel,1243144,1229370,1437854,1216911,1345397,1371207,1357808,1284238,1581772,1494139,1503704,1828952
Spain,1476259,1318344,1302923,1198845,1397387,1280386,1262162,1333652,1569595,1587366,1725192,1787128
Sweden,1194254,860051,971463,1291643,1153137,1162865,1129408,1090819,1432529,1370541,1372289,1710000
T?rkiye,934967,971813,1033261,1172646,997757,1082325,1191305,1065376,1232817,1549211,1422653,1524564
Saudi Arabia,730158,588475,669943,482213,556461,400312,546642,546371,889808,870173,1017500,1522775
South Africa,1185544,1222822,894929,832644,1092882,1104009,875493,993392,1383243,1542597,1666206,1355053
Denmark,864800,935262,985751,1204244,868085,802431,1027334,882532,1035176,875597,930973,1273164
Chile,730162,916656,823109,916240,824577,944939,931677,1208384,1778770,1406202,1159452,1247423
Philippines,1029047,1007353,1147676,1124802,1052964,1002441,1026902,893237,1232076,1123560,1188710,1197635
Austria,940129,1110139,1019870,1168595,1113882,1184111,1022871,1039786,1274919,1308234,1245341,1192205
Colombia,994228,831950,1105647,949673,858831,1061201,973344,1051996,1023590,1301405,1158807,1090571
Australia,1682304,1202721,1100992,804620,868276,1560772,964596,1048933,901461,1024112,920769,1055129
Poland,785817,739172,724531,728083,721834,747781,650951,670726,861517,783162,835865,876508
Ecuador,440930,672941,573826,601238,541597,546597,618875,548074,688879,863266,784115,720259
Bangladesh,501282,698700,574706,651389,469619,451989,629708,595492,651508,587170,737800,666481
Norway,309888,274603,301930,391536,375666,363907,344930,596482,652575,577877,624571,615518
Hungary,532538,451498,557441,526183,485235,554388,448608,411180,750116,570818,575897,602373
Costa Rica,453617,465287,498389,493958,514992,538781,405467,509628,639289,523247,641362,599543
Dominican Republic,489001,466913,519791,513185,484016,511375,369312,460726,615470,528541,586782,583089
Cambodia,670802,724060,768409,737643,556634,549395,612522,570946,783655,694079,651299,545684
New Zealand,468109,347078,324172,320329,310805,350408,359947,274633,435848,374361,387457,534325
Czech Republic,489487,438632,509618,466738,507193,570519,421031,433045,535642,573640,561215,531923
Finland,351232,383498,391726,581177,454569,600279,496149,491955,557998,664962,475869,528704
Honduras,345139,388022,418164,427160,299321,364153,311205,407249,507386,447926,471843,505108
Peru,448659,504509,526161,613282,558623,682605,631098,550602,487442,381869,410083,486389
Portugal,316764,378874,315043,348251,335659,330906,380470,355654,421655,465692,425140,481616
Slovakia,370939,314084,708422,613143,532624,747196,478086,416759,605043,422578,529195,471844
Pakistan,313045,361923,392855,455916,408940,424308,402075,358125,462918,385560,494337,460285
Trinidad and Tobago,235976,225526,205228,206690,242101,244796,305846,333536,313790,384161,387405,448344
Nigeria,61007,154443,171416,50680,188418,166289,216334,156315,331454,290437,274013,425788
Guatemala,360531,328992,363829,333015,286065,373674,344687,358345,473576,439316,401386,418988
United Arab Emirates,294382,228687,260878,321472,300036,266951,569948,563468,339718,468069,426179,415697
Argentina,411060,553274,391110,393766,318654,285120,271502,291269,355169,421416,410703,407974
Nicaragua,316540,336954,340806,359686,300042,312797,285954,329645,404057,367954,400127,403580
"Hong Kong, China",443324,243245,353294,306699,332359,210624,274882,278561,238922,395938,314336,343377
Iraq,150491,282948,53030,221137,130701,93478,167910,153784,382229,279849,406260,313267
Egypt,231436,227369,217906,177034,180564,194754,256112,240231,231354,264590,313394,282796
Romania,178579,196113,189526,188698,188576,221949,178800,205939,250415,253699,278349,282671
Lithuania,85158,143802,118523,142983,142515,259230,220600,129181,226702,176543,227644,252672
Kazakhstan,99673,71750,55959,43330,166704,109566,83580,83815,143421,126369,302055,239468
"Libya, State of",64,137,48,62,17,1,0,60378,171835,200038,299406,230823
El Salvador,188518,189710,212744,212621,181717,220481,152457,185599,240793,208665,214084,223122
Jordan,163479,211075,223854,195679,118524,140625,193315,162932,250612,183715,188177,222993
