List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2020-M07,Imported value in 2020-M08,Imported value in 2020-M09,Imported value in 2020-M10,Imported value in 2020-M11,Imported value in 2020-M12,Imported value in 2021-M01,Imported value in 2021-M02,Imported value in 2021-M03,Imported value in 2021-M04,Imported value in 2021-M05,Imported value in 2021-M06
Sri Lanka,197951,267776,259056,256404,201618,183726,219430,224114,272037,238072,246304,202187
Ukraine,173939,89165,106932,91020,115349,192227,93637,113600,174777,132924,199191,191668
Greece,105075,123593,129131,110085,97050,142650,117163,126615,152518,146683,151538,177113
Guyana,28709,112391,15247,71742,99469,165823,83111,197225,105053,143242,239107,167789
Estonia,59823,93231,86896,157279,135113,156737,188592,81372,131418,123887,178705,154969
Qatar,24545,62453,66266,121577,96449,113951,125875,104829,160080,179059,114638,148920
Slovenia,69086,66173,70732,84869,138907,94166,91832,104037,99421,107438,117284,142588
Ghana,46598,62261,52425,42895,57282,101502,146994,215844,98595,46535,144882,139968
Oman,59222,49611,58178,80623,79843,82158,209230,127105,167592,152867,130598,127471
Algeria,28319,15443,25689,8794,29110,78634,41215,110789,212565,211566,123816,124955
Bulgaria,75382,79742,65086,87088,76569,91704,65065,78768,104695,95569,99052,118561
Kuwait,156117,29708,57154,63945,68202,13318,5642,49455,17155,133394,51254,115951
C?te d'Ivoire,54263,50292,48633,23376,37199,90462,160099,128799,233765,152927,95439,114337
Jamaica,33521,33531,41318,27983,33392,40117,24534,38066,42150,21124,58062,109653
Morocco,84793,64157,65228,59565,72031,70875,77964,92926,118516,115883,112190,102718
Haiti,84062,77732,90405,85413,79502,84626,50076,85907,96264,100912,99121,96540
Uruguay,68998,66765,59209,41064,40739,41645,44779,39107,42424,40986,61938,90256
Croatia,73577,49836,77974,48584,50904,52151,72213,76805,72796,66870,105577,76125
Myanmar,84503,102800,116356,115438,84987,62201,96430,80989,112150,71870,66752,74701
Latvia,71678,37242,51256,53854,47319,34317,36398,26982,49264,62299,57455,72554
Madagascar,56173,32236,43927,29379,45962,40971,59203,40318,58860,50014,65544,69036
Panama,29117,36070,119909,192502,116180,49843,35678,69887,184331,102807,41983,63101
Serbia,36747,38094,49721,48451,43832,48422,45921,43443,55018,52971,48660,61701
Luxembourg,32447,65140,40989,40027,36638,56141,30195,45187,48770,50220,46692,56953
Ethiopia,58683,44609,50009,58625,44964,34038,42799,25837,42089,26347,61431,53403
Tunisia,56452,45613,43932,47452,49947,50933,54939,44129,63736,82105,60536,52331
Kenya,42378,48281,49834,49039,53525,41367,55859,36756,71264,51481,55740,48520
Iceland,38713,30080,41116,44357,33754,48113,38673,36489,58775,39881,56777,45454
"Bolivia, Plurinational State of",27387,27371,24571,47959,28881,48335,36140,35223,47680,36285,39201,35777
Bahrain,47574,32421,38992,54977,41376,49242,59266,58619,101523,87020,119240,35673
Fiji,22599,27806,20713,27616,31673,30616,19644,18126,24424,24376,18192,33694
Angola,10744,40507,20765,101932,66346,4902,55808,79417,91235,105858,161674,32176
Lebanon,19044,25800,22764,28101,18751,21551,20825,6261,12471,15701,23048,31036
Mozambique,2952,1729,30617,18051,5393,6343,6149,9374,2514,7659,11854,25754
Lesotho,22749,38273,21292,41927,31879,31624,30200,16172,14456,28120,31006,25133
"Venezuela, Bolivarian Republic of",11391,12724,14390,17544,16683,13837,10136,13432,21024,25149,22620,23545
Lao People's Democratic Republic,5269,8373,13739,9385,10351,14322,10342,13747,21244,18264,19886,23230
Bahamas,14008,26240,32982,17229,19249,21938,24773,17403,26206,33394,21018,22047
Equatorial Guinea,16222,4907,8387,6827,20782,8649,25195,19625,12189,22589,9998,21938
Mauritius,12247,14779,28789,31619,25189,17752,23820,15584,18244,19795,17251,21512
"Congo, Democratic Republic of the",1854,473,295,5698,2813,4495,3598,6043,4396,23075,41063,19790
Faroe Islands,10327,10636,11542,14013,11007,12182,13054,12296,18064,18695,16494,18172
Bosnia and Herzegovina,8857,6722,10795,8643,12107,11060,9275,7881,13732,14333,20858,17666
Belarus,16797,36760,30039,24756,36461,25066,25567,26023,52504,42940,18814,17203
Namibia,3206,9145,6731,9638,15269,15278,5152,14403,9949,9021,10004,15363
Malta,6993,19035,16233,19900,21349,21226,23225,23286,18301,21294,18602,15102
Paraguay,11860,12282,12352,17347,14427,16973,16212,13151,11501,14656,31855,14942
Botswana,7238,17553,11392,13408,11094,13861,12443,15722,12027,14871,13340,14377
"Macao, China",8890,17385,7877,10418,6821,4457,9844,7813,13046,5979,11964,13552
Uzbekistan,1176,1136,18197,11311,777,17615,1466,1923,734,1886,18976,11878
Niger,5883,22165,4650,2852,986,2670,6644,3873,10427,6643,3539,10646
Papua New Guinea,12222,10483,7699,15202,7854,6245,9093,7105,4432,3861,3540,9673
Senegal,8086,8635,16414,6530,7942,8827,10030,7120,12680,11230,22428,9209
Uganda,6477,7483,8085,8242,5669,4931,6780,6821,5613,5373,7102,8707
Gabon,574,11574,4714,18407,10339,1287,1362,10285,16126,3781,4016,8702
Nepal,5522,7635,10586,11435,8453,8022,7492,8741,10252,8733,7016,8353
Armenia,4636,5840,4770,8976,5501,8358,6315,7284,8425,10054,9015,8303
Cura?ao,2633,7619,4846,5284,5475,6110,5466,1639,5533,1667,6587,8053
"Tanzania, United Republic of",5987,6400,7452,9310,5480,8259,7484,5645,6068,8138,7476,7279
New Caledonia,2272,1201,5735,2929,2985,1887,954,1903,6872,6358,1645,6921
Georgia,9463,3052,7758,26019,8237,18269,4056,8333,17401,4137,18325,6790
"Macedonia, North",5124,20949,9526,17761,33958,28638,40742,5251,7935,9419,30873,6664
"Moldova, Republic of",7505,5160,5670,5878,5461,4026,4912,3873,4168,3389,5842,6296
Cameroon,20391,34883,36408,40457,6557,35347,16318,5973,11586,6160,5413,6240
French Polynesia,1757,1496,2039,2697,2449,1835,1574,46354,2510,2146,3570,6145
Djibouti,1616,2218,2525,1868,17131,9263,4046,1074,1572,497,3040,5891
Azerbaijan,1704,942,1103,1266,3601,1542,5678,4764,5774,4173,8203,5574
Liberia,2912,4268,2277,2187,4240,5557,3763,6680,9155,4309,6204,5490
Suriname,5699,4349,5854,4849,4395,4168,4342,4518,5391,4496,3252,5360
Albania,4137,3057,5218,3741,4268,5065,4238,4082,7145,5835,6578,5123
Cyprus,5770,4146,2294,4616,3013,7006,4788,1821,5343,4745,3970,5076
Saint Kitts and Nevis,3440,3889,4773,3845,3207,5751,3321,3241,5059,3135,2861,3879
Belize,14186,7084,3168,3773,3147,2377,2117,2170,21820,3962,4031,3729
Barbados,5233,5477,3123,6224,2619,4765,2403,2652,7018,4287,3263,3716
Zambia,2555,2006,1132,1620,2124,4109,861,3441,2676,3342,3566,3544
Congo,805,7363,51492,58445,1583,2487,2064,1552,2964,3552,4572,3148
Falkland Islands (Malvinas),22,4,127,59,2184,459,0,1,3299,1242,851,3061
Malawi,2549,1656,5851,4176,7382,6941,4253,3905,4339,2956,6201,2361
Aruba,1059,2000,1071,2239,1605,1310,15608,760,710,1868,820,2109
Afghanistan,840,925,1261,2147,1644,1702,1983,1397,2278,2955,3272,1877
Saint Helena,27,3,107,528,108,1705,101,31,25,3475,2114,1872
Brunei Darussalam,2684,1780,1802,863,1447,1406,585,1647,2198,2128,2725,1819
Grenada,868,1200,1802,1414,1280,1242,1098,1199,2155,1582,1804,1616
Greenland,3852,2715,4484,2662,2179,3908,2195,1476,4075,2701,1287,1491
Zimbabwe,1649,1247,4707,8386,2052,1459,2585,1601,5689,1711,3519,1452
Syrian Arab Republic,499,120,621,809,711,824,843,793,627,1360,725,1425
Maldives,984,1445,1185,1522,1257,775,1949,1701,2024,1281,1415,1404
Mongolia,1736,1473,1948,879,655,391,1207,388,568,1009,1224,1359
Togo,1834,3375,1737,1999,1097,2150,1455,1029,1196,1747,3021,1353
Marshall Islands,849,11292,896,11288,1377,741,760,1007,3898,1260,1126,1327
Cayman Islands,1923,1723,2478,1506,1864,1792,977,791,1272,1294,1429,1311
Seychelles,148,127,650,1584,1116,1259,955,141,657,1219,1585,1281
Sierra Leone,809,862,756,2624,1035,3039,1401,1452,731,2217,1258,1105
Eswatini,173,757,5647,10246,868,248,527,326,489,752,1052,1053
Mauritania,970,198,397,19,707,427,396,206,107,420,209,1017
Guinea,640,1474,390,258,468,336,1577,613,481,2140,607,985
Bermuda,478,645,788,1337,1178,2553,704,869,1054,741,909,976
Comoros,710,11,424,35,70,41,40,948,1,263,1554,970
Saint Vincent and the Grenadines,728,660,494,490,248,629,377,382,464,490,433,948
Samoa,466,447,587,466,81,685,869,313,785,913,483,929
Saint Lucia,1088,648,885,729,616,961,626,631,1074,827,704,794
Antigua and Barbuda,576,229,417,601,1313,289,253,426,1631,1190,174,775
Cabo Verde,484,153,205,708,216,458,252,87,554,938,95,750
British Virgin Islands,305,231,164,144,228,3081,121,210,401,663,424,730
Gibraltar,76,183,6610,4064,1735,9,106,289,338,455,97,647
Mali,617,269,70,152,137,150,97,73,202,215,109,602
Rwanda,355,2049,3571,2990,4329,3822,2998,2657,2124,3240,1767,578
Montenegro,752,207,624,738,712,576,454,256,860,527,739,559
"Palestine, State of",137,507,277,599,796,377,1023,403,560,667,373,490
Solomon Islands,780,28,150,190,687,75,393,168,83,187,86,433
Tonga,559,225,518,285,309,237,279,227,421,378,271,421
Burkina Faso,322,374,817,918,504,419,151,95,393,233,287,380
Turks and Caicos Islands,343,422,775,408,412,867,103,545,404,605,435,338
Yemen,630,134,28,429,401,411,697,553,569,1178,683,310
Vanuatu,667,312,672,325,312,1140,476,966,430,951,248,283
Kyrgyzstan,524,266,1052,182,530,394,378,523,1092,489,1322,242
Andorra,165,261,301,207,333,170,1038,910,255,122,1809,203
Timor-Leste,115,85,91,372,723,2179,731,203,157,557,278,178
Gambia,77,213,151,134,60,12,57,99,221,69,311,164
Benin,437,516,237,98,414,475,315,297,1621,405,911,153
Christmas Island,57,69,254,20,4,16,5,1,39,111,27,146
Burundi,0,1,122,12,121,838,1459,858,628,645,76,135
Bhutan,7,1,19,248,2,17,21,13,35,31,71,123
Guinea-Bissau,0,3,0,96,353,0,0,25,22,0,34,118
"Micronesia, Federated States of",44,83,843,236,165,442,157,127,128,230,93,110
Central African Republic,40,14,79,32,5,35,0,0,204,2,6,82
Dominica,175,91,77,76,84,246,64,119,80,124,145,71
"Iran, Islamic Republic of",236,123,199,186,161,0,32,112,8,106,0,62
Niue,44,22,44,19,37,88,26,10,74,25,53,57
Somalia,6,88,88,36,70,62,71,61,46,164,298,55
Nauru,418,998,400,193,148,295,314,186,53,210,410,46
Montserrat,57,41,629,4,8,206,65,28,323,174,139,46
Cocos (Keeling) Islands,49,32,95,82,180,534,86,106,420,115,45,46
Chad,68,0,898,265,979,54,19,89,802,225,137,44
Palau,37,50,63,68,36,39,35,32,69,28,52,42
Anguilla,147,38,179,69,340,253,48,24,108,60,47,42
Cuba,0,531,131,0,221,332,0,1320,175,105,25,37
Cook Islands,142,190,59,55,23,17,25,1,62,116,56,36
Turkmenistan,332,56,15,163,258,378,235,423,440,133,26,34
Kiribati,4,0,0,109,35,0,0,1,90,0,80,31
Sao Tome and Principe,109,47,116,29,261,43,196,209,176,157,52,30
Tokelau,150,153,103,28,269,17,22,17,27,15,10,15
Tajikistan,83,190,3,17,99,163,97,181,180,174,5,12
Eritrea,38,1,7,8,1,121,65,129,48,8,3,8
British Indian Ocean Territory,0,14,0,4,1,1,4,28,50,42,1,5
Tuvalu,1,4,9,5,4,9,37,198,1,3,1,4
Sudan,104,2556,1654,1592,20,51523,275,902,7,1648,3,1
French Southern and Antarctic Territories,67,0,3,0,1,1,0,1,0,0,0,1
Norfolk Island,5,4,0,5,0,0,0,0,0,0,46,0
Western Sahara,0,6,0,0,2,11,0,0,0,0,0,0
Saint Pierre and Miquelon,33,11,0,0,1,2,0,0,0,0,0,0
Pitcairn,0,98,0,1,1,1,0,1,0,2,6,0
Wallis and Futuna Islands,1,9,0,0,39,0,0,0,1,0,0,0
