List of supplying markets for a product imported by China ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on General Customs Administration of China statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2019-M08,Imported value in 2019-M09,Imported value in 2019-M10,Imported value in 2019-M11,Imported value in 2019-M12,Imported value in 2020-M01,Imported value in 2020-M02,Imported value in 2020-M03,Imported value in 2020-M04,Imported value in 2020-M05,Imported value in 2020-M06,Imported value in 2020-M07
World,179037498,178029667,169783525,183226277,190354288,156917051,141271866,163715281,153687876,144025943,167401989,175818117
"Taipei, Chinese",15626476,15626504,15299961,16723648,15768502,11775540,11855180,15110137,15406679,14769723,16034500,17211926
Japan,14375237,15207880,14148170,15304661,16335316,10184893,12188975,14742036,14567828,12436915,15065156,15242357
"Korea, Republic of",14492254,15056799,14798905,15259832,14873522,12123713,11893609,14380186,13446295,13198819,14316627,15126732
United States of America,10472051,10711516,9465597,11112812,11288829,9068409,8641207,10014115,9351109,9408342,10577909,11407401
Australia,11839343,10750622,9481110,8713606,10507529,11084078,7901219,8918137,9980859,8901241,9976120,11273274
China,11754905,11563442,10671392,11967896,12028770,8044355,6280749,10082311,10444914,9780304,10723586,11227003
Germany,9138100,9065424,7289422,9342640,9212050,7019182,6836995,8300427,7607175,7178689,8258352,8796235
Brazil,7152129,6609464,7129028,7402318,7143706,6281614,5844354,5394314,5690359,6193714,8418015,8316140
Malaysia,6062992,7103624,6293605,6178964,6940025,5617161,5328018,5867712,5278018,5325497,6713394,6335908
Viet Nam,6144218,7334672,6831046,6838753,6595081,4763354,4254705,6417397,5495197,5157731,6104430,5559144
Russian Federation,4991241,5049755,5338534,5595103,5606050,6111417,5110415,4875807,4200910,3543241,4213365,4794106
Thailand,4166422,4017513,3793859,4012836,4229671,3040048,3040706,3892748,4178327,4202526,4184885,4109723
Indonesia,3044429,3147709,3184810,3219575,2574681,3184441,2688894,2662912,2802280,2708559,3246042,2897176
Chile,2000779,1874809,2096647,2434456,2405264,3050177,2462083,1964583,2192578,1933578,2589005,2841414
Singapore,3419126,3056192,2604579,3174618,3430130,2844987,2114452,2430732,2406870,2188345,2555970,2486520
France,2480108,2578428,2761015,3175203,3091169,2195624,1789284,2161701,2178258,1852782,2323933,2449314
India,1528382,1436867,1441013,1533921,1649747,1285561,1308543,1378315,1087241,1385042,2235793,2442550
Saudi Arabia,4865321,4412757,4983979,4954008,4647064,4624370,4655735,4066421,1987960,2453815,2734197,2327839
Canada,2089898,2303796,2194459,1796978,2325116,1501682,1496683,1756165,1604629,1759855,1883670,2265069
Italy,1856907,1806366,1599666,1796631,1999129,1378119,1357907,1649436,1470040,1365390,1773833,1994684
Philippines,1813585,1957426,1756270,1683903,1632672,1200318,1199185,1594797,1235187,1298048,1571132,1810706
United Arab Emirates,1283463,1516316,1257244,1239609,1461627,1423045,1371836,1092495,1349106,1164544,1073358,1583420
Iraq,2074012,2111222,2171465,2587045,2218717,2978428,2159879,2237097,1109733,1358011,1251791,1555074
South Africa,1983517,2275127,2026341,1799790,2385696,1697198,1452556,1750448,1347870,1136618,1288958,1531565
United Kingdom,2201005,2100969,1947019,2325580,2085627,1686452,1459841,1817029,1513038,1510820,1531988,1419098
Mexico,1296709,1175082,1288969,1344204,1261479,1207306,1009718,1177942,1273281,1102053,1181554,1402542
Switzerland,2591978,1849437,1830621,2266111,4063200,2724750,1017517,1433764,987864,858279,1196859,1302721
Ireland,1049604,1118360,1036484,965682,1081133,998283,1055708,1323315,947736,1139047,1130320,1204507
Oman,1515851,1334227,1656518,2130891,2430964,1821687,1675890,1183745,1404688,889248,930694,1080458
Angola,1755614,1490855,1469925,1769543,2389918,1750908,1433597,1830348,974838,688398,1153012,1062541
New Zealand,1031157,818148,848171,1057342,1051973,1371802,984087,979064,1122350,895105,947806,1058788
Netherlands,829337,902746,997749,1069555,1102322,900589,817725,957392,1107403,1034013,1252848,932418
Argentina,554074,669731,731634,942280,933206,952040,471918,558166,285279,183831,431604,930817
Spain,677247,702978,680105,802868,805799,782719,567256,903574,807594,706571,851589,878523
Ukraine,388351,487602,277188,391005,543309,395098,440256,478710,665753,573720,767026,865850
Sweden,722607,684270,658969,826117,815491,599062,773063,905954,820470,766134,643352,818903
Peru,1319928,1058087,1146688,1256523,1256566,1368309,1298926,1156243,1185417,817300,875167,790134
Kuwait,1044548,770247,1223830,1097050,1244415,1414642,1238162,970549,569950,484287,828738,723932
Belgium,550959,561402,563615,757233,600485,465950,457727,625550,632952,451486,729302,684920
Kazakhstan,602891,889698,513748,646822,836493,777072,683241,637198,709684,772516,1115380,655603
"Congo, Democratic Republic of the",334351,421940,459614,381813,535820,370302,284519,478910,499490,233996,443346,627692
Norway,247029,371209,276560,552462,527553,954218,521162,752093,807548,329827,639880,610480
Qatar,710923,712661,479507,1061734,914330,969426,720340,501482,393620,433903,514930,583131
Israel,437446,528561,489326,494667,605637,552022,350242,511459,487509,524235,561588,572352
Austria,664711,656231,537407,710173,676271,486424,555699,614695,487737,415099,487518,536100
"Hong Kong, China",743882,817626,529931,725347,948265,583639,350798,584035,475797,377642,521753,525529
Nigeria,129892,211406,467990,201710,285785,219055,152434,200941,134943,121361,169964,460076
Czech Republic,392598,362813,373879,409363,426983,359563,303787,377015,375770,315720,437655,454570
Mongolia,591441,548725,483811,490711,397469,372070,250082,186858,308696,394492,427610,452749
Denmark,438688,395765,400592,547185,517772,349977,579973,620852,428606,441295,575730,442965
Poland,343458,325485,320183,338727,375937,292084,325879,337385,283903,278856,375304,427782
Gabon,371803,323008,437867,426021,282591,419602,257536,334363,149386,252261,172341,413043
Colombia,706149,601646,555409,493733,810528,547818,416091,422163,399232,226591,252222,412729
"Iran, Islamic Republic of",944270,823562,778922,828291,878801,655949,498892,666423,520825,381211,417271,405700
Finland,430049,409441,402707,342351,385139,305516,329650,420264,356577,277719,314811,397265
Ecuador,364870,320117,368864,328294,537330,413501,283868,432343,389677,233056,363438,397108
Slovakia,657242,513540,272436,539679,393469,549296,414463,280071,197017,168509,327367,392973
Congo,460385,520898,511269,496392,690309,280005,496106,341996,168237,152412,204514,375171
Hungary,359950,296355,307126,350339,321389,298728,246775,308806,318221,258303,351917,366935
Myanmar,347981,342560,347642,396221,529905,477968,284786,490485,382962,305253,354150,351434
Zambia,231245,244892,214990,240570,266366,203788,131194,211703,304880,187978,197293,311417
T?rkiye,345863,306649,256654,310699,296744,241689,279394,313608,231840,211664,340160,306949
Portugal,237155,154426,182202,203778,213817,184028,154785,201047,184631,151543,267820,256493
Guinea,194806,100870,94906,97475,169244,217100,220991,230118,242844,193606,220611,247767
Uruguay,337773,383124,227209,309100,256678,198827,177444,178510,144175,141011,145412,233570
Romania,234074,176704,189669,223430,225221,156477,154829,176748,161054,157502,227508,229832
Ghana,210786,116045,313854,231518,185039,348202,76894,231599,75587,108383,118686,197307
Brunei Darussalam,39796,10715,19911,21096,199974,184199,64441,83854,100907,95699,149886,165887
Lao People's Democratic Republic,174540,164372,188910,182505,215493,164327,118489,171297,173816,129769,132196,161666
Pakistan,97595,89604,128269,144042,221310,122468,176855,222518,189506,101994,128207,157962
Area Nes,254017,249813,221240,255793,303433,196876,180201,213229,136507,145709,28056,154902
Papua New Guinea,256658,268992,249769,274219,221882,223139,161139,226044,187236,208868,191213,150572
Bulgaria,92562,90868,119372,68034,116671,125656,77841,123947,82146,78995,106473,136224
South Sudan,146480,105168,185246,62759,122311,163054,45090,1,39405,17691,0,131709
Cambodia,130955,108214,100530,119509,120417,80530,116983,133409,107960,81796,99281,126611
Equatorial Guinea,48967,127069,90627,139298,142123,95865,205027,88546,51713,48085,118128,111426
Mauritania,75515,53775,81757,51654,77695,68355,101158,61608,96992,84957,154985,96413
New Caledonia,67296,104605,108263,100547,119958,91604,74343,63196,105180,58782,100313,94288
Sudan,73742,32479,32733,72983,32439,34959,68696,87814,62673,90267,99407,88504
Belarus,83942,65467,65989,42941,58074,30815,69571,76186,52683,46938,47711,86898
Uzbekistan,69871,57225,67063,58053,62918,103209,57700,52591,41871,42213,57106,81807
Namibia,100219,5751,49812,106326,30036,97444,51634,6235,41665,39060,7263,79859
Cameroon,36175,94563,134717,60702,110106,18736,9822,74783,19254,56970,66828,75513
Bangladesh,98498,75026,78784,78521,92013,65051,72020,72818,61370,44357,50259,69330
Zimbabwe,33822,31594,32506,31340,35939,26293,66238,144205,276280,69324,100467,56803
Serbia,41729,41560,21201,43471,34621,52923,37811,43768,35584,16474,41069,53636
Panama,116169,56354,78115,70895,103207,4748,64436,64040,44645,27885,2498,50044
Costa Rica,60393,57840,67087,74531,76701,46052,57516,87544,38940,52803,49492,46550
Morocco,55619,68761,55184,62466,49175,30315,46521,60584,46804,31586,45193,46534
Greece,62444,68052,66311,54009,72666,61415,43433,68211,37097,47323,81217,45642
"Libya, State of",639727,264565,337884,483843,698784,396972,219925,1,17439,0,36101,44822
Slovenia,49308,41767,39958,45175,42768,32120,34073,35596,39579,30963,41742,43250
Chad,0,975,0,63815,93943,9,28067,59,40602,62390,29307,42377
Solomon Islands,40404,21049,36324,31349,37388,27851,10436,43148,51581,21593,37778,41455
Ethiopia,30065,20746,19430,16131,21243,11559,20120,32034,31183,41394,59456,40057
Lithuania,34672,33230,32522,72814,55309,40534,27653,51898,27179,51306,33387,38987
Cuba,25038,23352,27527,16161,32542,30810,43646,50055,61346,63992,38600,38375
Armenia,63543,18764,42328,93324,58542,26062,123449,69122,44489,32764,57377,38190
Jordan,22852,58391,23658,16983,36974,44118,19255,20172,51448,30295,40388,37067
Algeria,34500,75689,22634,85244,182828,20870,179759,151545,113652,127934,52498,35402
"Venezuela, Bolivarian Republic of",600022,300011,45367,29095,12939,49936,65952,31651,42845,34857,44448,35027
"Tanzania, United Republic of",55524,73477,48422,37836,32327,22820,8473,8923,30302,11554,40095,33543
Liberia,554,331,1132,4774,171,14180,253,13198,4251,297,4678,33530
Bahrain,39851,42147,2102,30824,2732,569,27017,2892,1022,9323,4760,32124
C?te d'Ivoire,20554,34228,42484,16418,31626,30943,82115,51487,30606,51285,34124,31149
Sri Lanka,27532,82931,32781,24404,32820,22635,24944,27574,16209,19789,24475,29731
Mali,15320,8493,1942,1540,943,2429,10177,17117,16084,21553,16922,29431
Eritrea,8899,24457,18860,32045,7467,23842,34527,5402,18763,16787,37416,29124
Mozambique,62621,73498,85925,70567,77618,40175,67586,48690,27738,31670,24299,28812
Malta,32865,39217,31890,32453,29177,23884,20037,32161,29759,32692,29668,28510
Luxembourg,22924,19802,26533,21486,23983,16255,17790,28329,25363,27636,23406,24123
Estonia,19432,17616,40182,21300,18074,14735,13760,18077,16014,20309,21855,23623
Dominican Republic,29669,38164,40879,30953,30414,14738,17132,20246,25634,19331,27750,22425
Sierra Leone,31123,21643,7667,7870,9703,7189,16230,10685,11493,10612,15932,21025
