List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2023-M04,Imported value in 2023-M05,Imported value in 2023-M06,Imported value in 2023-M07,Imported value in 2023-M08,Imported value in 2023-M09,Imported value in 2023-M10,Imported value in 2023-M11,Imported value in 2023-M12,Imported value in 2024-M01,Imported value in 2024-M02,Imported value in 2024-M03
World,258148146,271719671,265369335,262860354,273263801,268401992,284257890,262774804,254247616,261025350,249588360,266358843
Mexico,38459413,41786894,41496460,39263042,42120848,39888253,43279782,40156282,36971161,38402769,40616693,41939401
Canada,35224692,37674617,35896264,33852197,37046668,35817054,37448931,36946918,34188244,34246069,34171897,35025636
China,34771043,37655207,36069604,37850350,38523784,42157621,43520395,37123160,35691326,37585347,33590778,31534825
Germany,13721606,13840068,13045002,13836000,14140484,12810196,14114036,12710691,13947062,12671633,12563131,14531490
Japan,13329648,11619756,12052808,12965195,12489968,13013386,13899981,13769677,11896957,12953340,11998942,12555443
"Korea, Republic of",10149602,10012370,10669548,9809969,10113456,10383378,10668703,9502236,10669703,11266552,9893046,11930826
Viet Nam,8935878,9562352,9607375,10429282,10589165,11034790,11237004,10679969,10027169,9934350,10011516,10380913
"Taipei, Chinese",6620446,7728703,6940847,7509075,8493430,8183834,8867243,8043196,6872437,8343598,6961992,8119444
Ireland,6340395,6897530,8346847,7770896,7157872,7353118,7203797,5877377,7150467,7364083,6567062,8016808
India,6983274,7685676,7140405,6689671,7054633,7644563,7889011,6922019,6752861,7147737,7069840,7902577
Italy,6240533,6318039,6495302,7062865,6750385,5298135,6656452,6418696,6240047,6595203,5715390,6563100
United Kingdom,5544404,5651705,5788414,5220850,5323373,5165027,5912976,5516241,5722133,5250278,5318274,5862732
Thailand,4914217,4970533,4914615,4816247,4876812,4830679,5425181,4951272,4716593,4984767,4550931,5274151
France,4833492,5439783,5003292,4681476,5448031,4190506,5776385,4693600,4914334,4914772,4804308,5059552
Malaysia,3578920,3877610,4025864,3945602,3690278,3841453,4150733,3699196,4184518,3655207,3641202,4226285
Switzerland,5877311,5811665,4216159,3533460,3947479,4053621,4471043,3899094,3622134,4271767,3211452,3728437
Singapore,4211050,3249188,3543317,3364746,4788364,3272467,3813400,3119294,2200793,3297154,3416479,3421173
Brazil,2787671,3213070,3738767,3475202,3391507,4020123,3273338,3778132,3976243,3924880,3323622,3327560
Netherlands,2664100,2542169,2766332,2783562,3630010,3120165,3824426,3647008,3281581,2935298,3028880,2422463
Indonesia,2246074,2361723,1929675,2362171,2399266,2454607,2321741,1994818,2208512,2181770,2233156,2373452
Belgium,1691138,1908063,1922738,2010326,1911769,1705908,2165694,2481186,2029601,1740562,1963432,2352848
Spain,2180231,2248916,2127085,2259040,2020306,1710196,2065973,1865688,1929014,1781640,1633943,2030676
Israel,1484554,2202084,1763773,1848153,1709301,1669197,1751561,1716080,1696257,1869991,1612397,2002218
Sweden,1639067,1675310,1760067,1463798,1176723,1591279,1712331,1430107,1645772,1519392,1461571,1813228
Austria,1796582,1841131,1666303,1465787,1582333,1343336,1657542,1420162,1610655,1421032,1458147,1612270
T?rkiye,1241814,1478960,1383947,1489492,1362016,1392379,1443433,1348525,1274436,1472130,1323519,1500870
Chile,1712270,1408290,1545468,1313118,1208034,1327885,1165432,905566,896868,1591497,1284372,1500027
Colombia,1344597,1561224,1380321,1360189,1527257,1448333,1396589,1430317,1362517,1622141,1244955,1382915
Saudi Arabia,1443738,1218191,1430477,1559099,1420619,1529611,1183666,1132872,1028230,1102058,1097852,1210449
Philippines,1272531,1018726,1160915,1150860,1122620,1158423,1225874,1142807,1108886,1040746,940009,1187994
Poland,1134057,1149731,1173439,1157699,1176558,1008039,1142354,1146402,1143698,1226625,1109425,1150598
Australia,1506653,1697007,1474085,1470520,1310519,1261231,1428390,1432665,1089477,1261799,1168171,1141532
Costa Rica,777388,1002926,978172,864946,868504,930063,1001355,911749,876344,789127,830308,1010877
Cambodia,852296,932847,961706,1203638,1460100,1242539,1111038,854157,878720,876646,917397,1005784
South Africa,1003238,1691480,1418735,1167094,1301987,1288062,1040480,1251811,1254715,1182152,994320,995319
