List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2023-M04,Imported value in 2023-M05,Imported value in 2023-M06,Imported value in 2023-M07,Imported value in 2023-M08,Imported value in 2023-M09,Imported value in 2023-M10,Imported value in 2023-M11,Imported value in 2023-M12,Imported value in 2024-M01,Imported value in 2024-M02,Imported value in 2024-M03
Hungary,878955,756130,1045204,1147678,742800,772527,1096057,1139908,841430,851016,906881,838323
Denmark,931303,1092735,934928,1007198,1109245,786023,995462,890628,718231,600930,669858,829555
Argentina,568067,444786,484669,600756,544663,679982,512287,603459,634886,587418,431609,803603
Ecuador,746704,906773,594192,871443,1001462,673119,650062,653921,729650,687526,751723,788888
Portugal,521520,534562,525631,466999,584760,568223,518642,435811,809659,434226,526505,784680
Czech Republic,629940,674468,674394,647501,625604,604273,689474,650720,658797,626857,592801,721715
Bangladesh,675583,736445,615998,884595,732960,704256,690804,528372,588661,643611,753183,687570
Dominican Republic,567757,714416,656624,647543,588608,595363,648674,602002,602322,469630,608807,657493
Peru,737002,680981,566093,593311,733602,703105,896380,857688,926491,1112078,665225,599599
Finland,591782,667328,697441,602646,669508,630023,575270,763219,566674,752399,571831,598831
Slovakia,618801,737084,849952,874480,805876,677853,636710,550562,764487,463428,574447,581185
"Hong Kong, China",479755,375348,301303,347037,351118,427173,369257,289721,363785,313562,222321,566684
United Arab Emirates,577820,721413,496656,426015,516644,609462,710350,598284,471704,492473,434151,563822
Honduras,482036,590299,546829,479588,523777,463809,469814,430812,426634,415972,507963,510629
New Zealand,471923,542857,541035,559248,502417,492318,451724,406097,385962,534973,391509,482255
Guatemala,474383,495777,484374,446763,432379,407941,353951,394251,395983,430260,464428,480020
Slovenia,230432,305953,370776,339828,296800,351135,167402,544517,399633,535685,219566,472997
Iraq,796639,642413,707253,685384,773638,799332,770185,494720,504244,573533,365266,472690
Russian Federation,244852,548895,440594,257298,319361,269126,290285,388750,314472,261443,324112,463857
Nigeria,614546,438981,456398,551715,459497,291950,210131,567585,410805,543347,436280,461576
Pakistan,383612,437074,436070,438043,454099,437668,448616,411177,429821,388301,393747,455008
Norway,543080,573827,533645,576084,563565,493877,490274,532701,501333,509726,425978,451356
"Venezuela, Bolivarian Republic of",284763,373771,270998,350651,370797,385778,415367,408587,388400,346814,326830,407986
Nicaragua,414855,429780,425963,433273,408234,381303,378804,330651,327074,330531,384765,399464
Guyana,287263,181663,276453,195497,304379,270285,205994,348621,434846,467194,528323,385391
Trinidad and Tobago,298146,262091,338069,244956,282860,254208,225228,154072,283899,256547,337735,329756
Romania,350056,374519,325984,366170,368209,327348,360072,338169,306686,320503,324564,321083
Jordan,196373,241094,217765,267396,299525,310546,242430,195695,211257,223471,270841,303450
Sri Lanka,248797,239662,229241,258330,262330,243974,246493,207904,217587,270720,224963,277008
Egypt,155141,269025,215603,243812,225125,245800,283859,134555,167993,144522,223294,260924
Qatar,229253,132130,76763,104933,74430,191942,177467,182043,232949,140944,279323,235321
Ghana,213068,393189,154997,29587,244765,50535,44973,93174,241817,128106,186897,231728
Greece,185975,153404,169315,232247,193825,160522,167336,175277,187822,243732,194599,225735
El Salvador,212629,213728,210732,239171,228173,208210,184066,207942,175201,172488,216693,223417
Algeria,320638,365162,263977,307844,320859,373760,255012,173447,179614,250219,178614,205209
Lithuania,190813,221603,194193,147264,303679,153956,194563,148921,123020,132163,182245,178980
"Libya, State of",139737,96913,107379,54117,166702,146875,203651,174665,238089,67549,83683,172740
Morocco,162958,127850,134394,115030,147405,150996,171738,136880,127501,155855,161623,166460
Oman,121125,126793,116373,158886,157942,156566,162767,259213,98272,90421,162871,151477
Bulgaria,155882,151757,169915,122060,133866,117522,124730,116015,113149,115084,101129,140023
Kazakhstan,280258,306515,108232,335821,91696,221450,101490,166608,152166,177076,172425,139945
Angola,151676,91797,136159,146746,147173,154670,125216,52347,91016,43615,60614,136975
C?te d'Ivoire,170877,67512,49066,43621,37460,78017,46140,39022,43952,155654,128307,124760
Ukraine,165967,148739,141423,122686,70838,68729,58203,83128,97145,137960,68718,112107
Croatia,51242,75130,106144,75825,62032,63810,78901,96336,106165,53895,68294,96227
Estonia,71294,59578,65824,59788,63731,76576,51437,79307,58938,62718,67253,96078
Tunisia,62060,58091,76553,97058,72838,78703,84143,62910,59470,110233,93575,94074
Bahrain,105422,115235,114243,112842,93898,121240,110483,109806,86137,67856,112032,90979
Uruguay,84149,68966,107637,54385,95249,79887,87491,66608,61921,116629,80359,81712
Iceland,51143,55562,52072,54049,60047,65658,63528,64272,58837,64031,58900,80535
Kuwait,54114,142351,208079,158689,172052,169190,59696,102268,286809,71081,90228,76580
Kenya,63262,56164,254111,61586,57202,80262,50753,46421,40442,38769,44207,75326
Latvia,56017,59753,51249,61360,56435,51396,48302,51100,52135,68668,49255,70015
Botswana,39907,56088,22565,31233,51234,38795,56706,36915,29810,17382,22954,69935
Serbia,70724,83365,76893,72843,67213,68386,87132,71204,70457,71871,66466,68942
Madagascar,69402,95410,51799,62709,46793,80205,59492,46698,31616,61261,62042,62449
Haiti,82115,84389,58648,62499,91893,66250,59393,75501,52304,42503,41006,61055
Bahamas,168742,176937,176403,56221,61449,91469,72322,224538,391388,233015,140620,60741
Myanmar,69407,65675,58495,73415,90896,85248,82529,76677,66288,50309,48513,51573
Panama,39360,68069,46623,45690,47899,51340,45919,36734,42386,38596,37977,43620
Luxembourg,67501,74342,46384,62450,77589,37764,74781,49436,51517,51428,58234,42296
Jamaica,30746,34326,29069,43364,29056,33617,39128,30972,30775,22839,30160,41308
"Bolivia, Plurinational State of",25958,43218,20983,35227,48043,39171,33693,38188,39926,26231,41869,37182
Ethiopia,40682,49910,49214,63553,49822,43604,48507,29743,41659,24544,24392,32656
Lao People's Democratic Republic,28973,26478,25149,29314,23632,30713,23683,18130,24178,28368,26023,27733
Faroe Islands,24297,26040,19830,27059,31163,27151,25297,28271,26193,27100,25045,26669
Mozambique,16132,24591,17087,34046,8050,21713,9713,21281,5443,31256,3306,23956
Fiji,27067,37193,25907,34351,28352,27858,40907,33428,24966,22277,22864,23867
Paraguay,22872,23460,17954,17856,21735,18501,38499,21355,32484,29107,23902,20524
Senegal,15183,11574,17919,19248,9954,7019,11904,11696,16225,22288,30076,18994
Zambia,2241,35441,8942,19645,6299,19261,6950,12723,9779,24117,4907,18780
"Tanzania, United Republic of",16183,28471,14911,14938,10294,12396,10755,16777,13192,20300,18217,17389
Namibia,12705,15044,12397,5188,13197,9069,12946,10364,8239,5546,9239,17128
"Macedonia, North",15730,24764,17550,20720,30047,20806,25661,23888,31270,27554,16881,16539
Lebanon,16338,18191,15966,15296,20143,14431,27104,15793,15763,31566,15851,15655
Mauritius,21859,25907,21808,20846,29860,35050,18868,22643,34859,17803,21507,15351
Chad,0,0,136,445,986,468,380,48223,35753,47136,26,15056
"Moldova, Republic of",11173,9929,7678,9038,7037,7086,8348,7799,10271,13043,9064,13804
Bosnia and Herzegovina,12690,11015,11729,16463,13275,8652,14266,16182,18929,17269,15424,13666
Lesotho,30739,20818,20526,14063,21167,20050,34513,11828,12158,13633,30349,12553
Uganda,13764,11079,7349,12409,7111,7783,6032,6271,7501,7020,6516,12323
Cura?ao,10298,6835,35056,7090,4914,6809,5922,14988,25470,15014,16372,11907
Brunei Darussalam,28016,10835,25172,9586,11134,57581,11998,24538,5304,1673,65494,11001
Malta,17513,20795,26876,17223,16984,13335,16533,13706,11936,15583,14157,10749
Nepal,10650,14695,12082,12165,16098,15876,14318,7527,8639,7868,8405,10695
Togo,5475,13804,5338,5015,6990,9648,7950,14482,9021,11489,8370,10624
Azerbaijan,1161,3235,5185,6106,4783,23968,6036,5218,10423,14349,8210,10149
Armenia,10080,17511,8976,8264,17907,7742,10809,9333,15387,12664,18499,8397
Liberia,5305,5801,7613,5063,7101,4517,7519,2807,3965,4369,2392,7781
"Macao, China",7429,10596,15074,11318,17096,16053,12170,13755,9650,11352,9208,7714
Cameroon,6845,6744,6051,6907,9316,5756,6743,5255,6629,56140,32684,7649
Gabon,8471,2473,4412,14513,6291,10334,12251,15514,1785,3156,2363,6875
Albania,5863,5178,6843,7168,7525,5307,7044,4332,5569,35805,7244,6233
Equatorial Guinea,28538,9977,12315,7417,11477,13745,12154,14929,7107,10791,9911,5957
Belize,9598,2476,6840,4406,10262,7398,5130,2810,2772,2489,2726,5856
Cyprus,5020,3821,3030,3977,10887,7749,4731,2785,3180,2938,4808,5750
Suriname,5167,6127,6332,7344,9211,7945,6496,5608,4972,6112,4227,5675
Djibouti,1038,5490,4421,3397,6627,2713,4134,4311,3037,722,1716,4665
Barbados,4883,5966,4382,3407,2221,5020,3990,2947,4013,3488,3093,4550
Georgia,11855,6906,3665,3456,27633,3351,26439,4438,8269,23441,4100,3814
French Polynesia,3751,4265,4492,3064,6014,4075,3411,3743,3343,3162,2241,3766
Papua New Guinea,2936,7038,4882,7084,6472,9209,10993,6314,5433,5978,12899,3580
Mongolia,2616,1923,3942,1019,2199,2442,5889,3102,3027,2421,3932,3405
Greenland,2203,903,2507,1124,2474,1332,3110,2998,1507,2107,2807,3289
Benin,520,687,647,118,1212,3624,1803,3237,964,2565,4139,3256
Afghanistan,1452,2507,1093,762,2616,1237,1139,1455,2108,2669,1545,3001
"Congo, Democratic Republic of the",50552,49842,20071,5623,3052,7455,1956,2631,3768,749,2227,2914
New Caledonia,3053,8568,375,459,784,1611,2088,859,119,2071,165,2616
Zimbabwe,4488,26892,2885,1862,2589,13031,16047,5751,10440,6467,3204,2454
Cayman Islands,1747,3212,2012,1052,1680,4306,2838,2961,2311,1851,2858,2279
Congo,2368,1845,1941,2230,2314,128988,77175,26664,55092,2909,2328,2187
British Virgin Islands,4916,514,246,48,1781,4635,958,233,5598,426,903,2125
Malawi,2497,3624,2915,3758,2208,7673,2302,1109,2220,5741,3891,2114
Montserrat,134,248,65,68,320,60,266,102,163,1224,180,2050
Vanuatu,232,663,157,456,2154,342,241,387,667,170,776,1679
Sierra Leone,1085,971,1784,3530,1015,973,8678,1117,1196,556,999,1657
Grenada,2307,2416,1164,1614,2141,1113,1188,859,925,1317,1327,1641
Marshall Islands,1140,1417,1867,2012,2863,2062,2019,1686,1819,1792,1674,1621
Saint Kitts and Nevis,3466,2546,1376,1411,1163,1915,1522,1823,2166,1303,1689,1614
Burundi,1052,504,134,119,6,18,181,454,814,312,142,1532
Belarus,5510,4443,4090,3521,2379,2172,2208,3689,2639,1784,2817,1512
Saint Helena,681,25,3,696,697,38,17,4,2119,47,2814,1463
Rwanda,1165,1274,1111,1410,2307,2995,2799,4951,2065,4129,2656,1372
Eswatini,373,956,492,157,553,551,26361,196,619,760,238,1344
Uzbekistan,22122,9574,7899,14247,1733,3290,2518,1465,29076,1462,3257,1333
"Palestine, State of",494,796,512,428,316,389,370,437,1113,921,670,1100
Guinea,1341,1261,451,812,878,522,503,1897,816,410,482,991
Niger,6083,5200,3037,3486,215,1357,1622,2148,440,1560,788,922
Turks and Caicos Islands,1115,974,1873,1132,770,1670,684,625,819,988,501,877
Mauritania,658,375,408,1134,603,81,87,110,8624,115,127,871
Samoa,893,604,1631,358,112,385,593,151,629,58,357,836
Saint Lucia,690,808,535,1173,1549,551,1200,1568,547,252,419,795
Maldives,630,672,756,582,705,860,694,373,624,1718,287,750
Aruba,922,1137,907,1037,2022,301,595,1339,716,648,991,708
Montenegro,390,529,2013,3858,682,2845,1617,2579,1481,2626,1330,690
Seychelles,743,802,820,720,1600,918,1056,530,1013,556,831,678
Kyrgyzstan,563,1493,358,671,336,1377,1025,1813,1176,948,359,653
Bermuda,930,2597,4594,2327,1374,3923,1558,2574,1265,1220,596,639
Sudan,2077,693,112,52,336,4006,2799,26,346,26,4,553
Andorra,561,518,329,234,74,278,183,291,326,92,582,503
Yemen,825,878,673,534,381,268,838,186,691,515,136,473
Gambia,62,13,102,42,656,39,151,8,3,512,346,459
Nauru,3,172,68,92,11,51,132,145,99,124,374,418
Cabo Verde,262,755,1015,470,912,213,415,290,755,931,20,370
Mali,593,765,170,960,92,522,342,428,2390,129,692,342
Tonga,134,325,190,195,140,334,306,131,168,141,83,325
Niue,325,268,552,125,549,798,916,284,368,359,163,286
Antigua and Barbuda,317,580,3130,326,314,622,107,1097,413,2974,1295,278
Somalia,21,711,354,42,23,8,402,141,23,138,162,267
Syrian Arab Republic,599,700,952,1135,582,1147,1300,2383,688,1970,914,263
Timor-Leste,158,26,3,57,163,473,396,78,1106,454,226,262
Burkina Faso,485,255,315,311,460,479,610,711,148,59,155,247
Gibraltar,111,55,33,273,43,19,3,189,12,10,0,199
Solomon Islands,20,45,43,260,313,24,133,139,90,60,126,191
Comoros,925,87,40,950,69,498,10,533,8,38,33,177
Saint Vincent and the Grenadines,287,922,613,751,257,312,572,249,87,420,185,177
Anguilla,127,70,92,118,101,89,190,108,151,126,123,166
"Iran, Islamic Republic of",157,214,71,28,6,905,71,0,620,3436,381,144
British Indian Ocean Territory,0,12,0,15,4,1,41,0,25,0,1,117
Christmas Island,27,1167,2211,6,18,34,46,178,20,131,188,101
"Micronesia, Federated States of",84,473,33,259,102,43,141,37,201,31,110,95
Dominica,136,495,279,100,162,82,122,91,44,134,132,94
Eritrea,25,15,10,7,2,77,1,42,96,44,25,87
Central African Republic,5,392,11,144,590,624,75,65,118,338,288,81
Cocos (Keeling) Islands,69,73,13,76,156,14,75,100,236,172,405,74
Palau,45,19,76,38,35,56,46,44,41,128,705,66
Tajikistan,2,117,6,17,10,34,186,114,350,287,36,60
Turkmenistan,30,186,20,181,186,32,55,46,433,18,158,45
Kiribati,0,0,2,17,8,1,179,7,14,42,25,30
Tokelau,18,33,152,30,8,12,15,8,9,7,11,28
Sao Tome and Principe,505,140,117,76,53,57,84,51,88,29,27,23
Bhutan,0,16,204,188,18,422,335,3,49,29,0,21
Norfolk Island,3,36,0,0,68,3,1,0,0,2,0,11
Cook Islands,60,124,75,92,4,91,9,69,6,26,168,10
Cuba,697,520,9,105,627,677,586,22,17,946,7,7
Falkland Islands (Malvinas),5011,783,8540,308,3044,1431,380,29,15,2024,3425,7
Tuvalu,54,308,0,72,55,40,29,53,1,12,22,5
Guinea-Bissau,436,0,1,100,6,0,77,0,0,80,2,2
Pitcairn,0,0,0,0,1,1,1,3,1,1,0,1
French Southern and Antarctic Territories,4011,3,6,1,0,420,2,84,3,0,0,1
Saint Pierre and Miquelon,0,0,0,0,34,0,0,0,0,0,0,0
Wallis and Futuna Islands,0,1,0,0,0,16,4,29,0,0,11,0
