List of supplying markets for a product imported by China ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on General Customs Administration of China statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2021-M06,Imported value in 2021-M07,Imported value in 2021-M08,Imported value in 2021-M09,Imported value in 2021-M10,Imported value in 2021-M11,Imported value in 2021-M12,Imported value in 2022-M01,Imported value in 2022-M02,Imported value in 2022-M03,Imported value in 2022-M04,Imported value in 2022-M05
World,229994751,225425353,233734757,236128205,213845017,251766421,244867813,244399883,189275732,230495740,222914937,228123787
"Taipei, Chinese",21219401,20804304,22598661,23830588,20156518,24324952,23942966,22891255,16947987,21857672,20680000,19053790
"Korea, Republic of",17798289,16910439,18532556,19864283,18192681,20641603,19653980,19219520,15020473,18991102,16533372,16585226
United States of America,14444503,14238233,14137354,15560799,13147155,17894046,17269740,18812738,13235257,15351208,13814213,15994534
Japan,18395117,17234249,16682223,18082500,16372788,18602205,17617220,16483795,13876060,17343795,15621714,14280115
Australia,15355780,15415975,17601997,14076213,12071039,12952124,11341127,13237580,10075570,11850657,11259411,12693643
Brazil,11778707,11635137,13077185,10117345,7440728,8882873,6541377,7853860,6073171,7286448,10612432,11055005
Russian Federation,6223699,6688916,6950929,6777547,7500317,8127110,8103527,7785650,6413197,8222255,9184770,10611592
Germany,10625196,10160600,9634112,10398611,8563540,10894060,10199122,9735228,8035020,9272223,9449413,9877137
China,13362509,13733468,13529013,14151895,12980868,15291236,15552473,14304764,8659638,10213236,9460284,9184840
Malaysia,9059984,6984447,7359720,8458583,7215201,9275133,10742811,9347999,7267392,9204059,8919394,8273611
Saudi Arabia,4617192,4500632,5509448,5301028,5057864,5796161,5255419,5951197,5256549,6114410,8153773,7551862
Indonesia,4846301,5008682,5525603,6066244,5993192,7671088,7241550,6728616,4153171,5491200,6459763,6454249
Viet Nam,7766539,6255437,7328513,8978706,7712244,9335295,9263085,6753922,5298321,7692006,6512522,5932661
Thailand,5517264,5682771,5827661,5600048,4678428,5092504,4785452,5031002,3805736,4953593,4652316,5207020
United Arab Emirates,1986256,2125401,2580731,2500565,2365274,4061600,3426281,2955858,2769250,3693383,3739772,4506291
Oman,2482834,2440035,2268203,2831659,2648605,2746691,2812441,3794706,2660029,2955231,2949126,3843034
Iraq,1703402,2411958,3109976,2317947,2476226,1996152,2907512,3934213,1887880,3260639,3291007,3637237
Chile,2864390,2822323,3127896,3179680,2752910,3429747,3850300,4400430,4247180,3892977,3106070,3296286
Singapore,3391810,3417218,3447945,3296500,2930610,3337250,3470909,3525374,2551188,3274654,2665457,2784374
France,3360512,3124190,3233247,3297065,3026341,3533252,3947459,3046888,2518195,3038902,2674426,2739487
Angola,1942363,1592471,1815007,1786209,1699497,1764901,2445500,1737996,2070201,2226515,2345833,2653807
Canada,2996800,2804252,2244309,2563384,2076925,2863190,2947395,2457519,1838792,2145809,2479209,2581427
