List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2022-M05,Imported value in 2022-M06,Imported value in 2022-M07,Imported value in 2022-M08,Imported value in 2022-M09,Imported value in 2022-M10,Imported value in 2022-M11,Imported value in 2022-M12,Imported value in 2023-M01,Imported value in 2023-M02,Imported value in 2023-M03,Imported value in 2023-M04
World,297239100,297837529,282572694,295627428,286391334,293302484,265365575,261626415,262860495,238083107,270545840,258148146
Mexico,39881999,39785045,38146151,40676444,39855061,40750021,37144189,36423915,37364456,36036585,43257248,38459413
Canada,41342631,41454559,38860472,39767641,36953681,36402298,34727851,33722512,35375766,33183630,38540869,35224692
China,47350505,52272633,50288329,54064186,52465118,47374159,39117471,39303341,40249625,32186180,32237648,34771043
Germany,12698161,11724924,11992007,12444321,13083822,14902363,13689867,14615364,13828632,12650056,14436909,13721606
Japan,13137021,11918444,12705919,12969774,12038883,13522148,12785058,14017921,11476631,11717678,13348927,13329648
"Korea, Republic of",10901268,10430753,10032021,10021760,10484679,10155514,10313950,10185554,9196519,8634179,9915396,10149602
Viet Nam,12684135,12385503,11391270,13219000,12301949,11686819,9891722,8980004,9651071,8652121,8534751,8935878
India,9002875,8652534,8057922,7482815,7710801,7964811,6628054,6286613,8312404,6591227,7618728,6983274
"Taipei, Chinese",8314968,7688877,8866435,8784957,7844340,8110661,7998498,7338226,6880214,6779874,6999574,6620446
Ireland,7426384,7541535,5178692,6442879,7026136,8134204,7030482,7046415,6173614,5338784,7104253,6340395
Italy,6688627,6650366,5954020,6621594,5176653,6662979,6001968,6585555,6087447,5235102,6404598,6240533
Switzerland,4829627,4196789,3784350,4216628,4742580,5064135,4413436,3989985,4716945,4135987,4615191,5877311
United Kingdom,5756130,6004353,4960807,5326931,5610784,6140446,5878666,6146279,4636069,5371543,5634381,5544404
Thailand,5811281,5287683,5004560,5926746,5494001,6095523,4901641,4394176,5167482,4040011,5061297,4914217
France,4820367,5280090,4999512,4802087,5062497,6074712,4855782,4925229,4867081,4265036,4814191,4833492
Singapore,2624602,2683478,2288827,2747121,2387904,3284867,2441487,2615253,2967261,2812980,3368874,4211050
Malaysia,4852763,4904967,4510090,4757869,5182901,5020264,4551345,4157299,4068270,3710332,4555550,3578920
Brazil,3098305,3946517,4160640,3799545,3634785,3889849,3534413,3391647,3277869,2718795,3347552,2787671
Netherlands,3668664,3472154,2604890,2498873,2423997,2406488,3548642,2639123,3214293,4051803,3853060,2664100
Indonesia,3549624,3063552,2632630,3226200,3393629,3427420,2796924,2519963,2844614,2273040,2704974,2246074
Spain,2429381,2408573,2264677,2259947,1806302,2124966,2101062,1691941,1950288,1665040,2062221,2180231
Austria,1560543,1642927,1463559,1591648,1626497,1550822,1728809,1586218,1785889,1593396,1848725,1796582
Chile,1572290,1475069,1563916,1226224,1276391,1221347,946175,1031620,1417478,1553133,2169722,1712270
Belgium,2089522,2338444,2102953,2109848,2208416,3380321,2882334,2019890,2002715,1577334,2098592,1691138
Sweden,1624086,1541235,1543616,1300322,1167442,1725801,1541912,1563518,1550359,1444791,1770547,1639067
Australia,1496318,1479151,1319291,1339599,1430239,1585671,1430443,1442882,1343456,1114290,1259005,1506653
Israel,1904703,2106419,1684396,1743871,2018832,1656398,1827442,1837236,1902417,1531085,1890351,1484554
Saudi Arabia,2421135,3062071,2258475,1844399,1894013,1749167,1908559,1910490,1534947,1444859,1583202,1443738
Colombia,1861481,1720925,1968692,1570869,1581315,1576221,1474362,1513781,1317000,1366941,1462691,1344597
Philippines,1398043,1558930,1483285,1561637,1426954,1398936,1348554,1284590,1120250,1000039,1204974,1272531
T?rkiye,1901325,1767098,1744695,1815357,1565778,1773143,1714917,1571203,1496545,1238541,1370732,1241814
Poland,1097232,1112530,1104517,1008467,1108742,1131731,1048664,1044860,1082636,1148193,1167553,1134057
South Africa,1481798,1141413,1135367,1298461,1098219,1331551,1196388,1192033,1093503,876883,879154,1003238
Denmark,1214383,972974,898769,1094086,1107772,1136339,1121829,1697724,1329034,956323,1075121,931303
Hungary,605928,692305,827748,708276,752934,911582,587035,595881,669184,983254,922358,878955
Cambodia,1185600,1069792,1215310,1400851,1311205,1097358,785656,883234,962496,757673,910259,852296
Iraq,977451,1029158,1697708,959509,779151,904441,909573,805723,863930,903132,1000651,796639
Costa Rica,763751,879197,753142,825571,911843,849020,827987,831617,756635,868120,997127,777388
Ecuador,1148748,1074848,852299,949617,1155131,835428,979740,854819,958345,746385,688421,746704
Peru,579888,675381,683505,857688,738484,913215,844742,935974,1073715,757475,774924,737002
Bangladesh,999407,1101322,842705,1127848,1103109,1101000,734684,806911,1012163,702299,796566,675583
Czech Republic,675467,715394,706235,628705,714708,712168,652700,648504,626371,591676,670123,629940
Slovakia,502667,569104,435206,572622,730730,692066,511539,757216,603799,571101,740810,618801
Nigeria,723248,679379,386675,653691,264675,239866,396150,395140,742608,503177,602464,614546
Finland,838862,989571,742824,825919,623377,755151,690733,698606,703112,638156,517141,591782
United Arab Emirates,630063,496518,805249,704451,758939,629065,454819,461825,513960,423691,806280,577820
Argentina,585143,598911,683990,543455,499634,626927,577982,720457,610196,537464,509039,568067
Dominican Republic,665909,636580,623946,637206,578261,609595,594099,542726,472577,563350,617576,567757
Norway,685464,566054,681947,568712,620092,519250,584390,696455,560239,502602,510438,543080
Portugal,862211,624051,545698,641876,522452,536176,380043,439811,520181,430335,836900,521520
Honduras,601983,596431,552791,596833,539923,477733,534545,439361,370584,508507,545567,482036
"Hong Kong, China",353854,362294,335804,429128,411803,491033,357435,282258,266411,236123,451192,479755
Guatemala,519477,537825,505476,509964,437777,445038,386765,424355,427123,423961,559869,474383
New Zealand,613348,521370,465078,416892,457901,423444,405329,518648,514403,400825,527283,471923
Nicaragua,470441,511795,499818,648165,554406,521445,470278,420927,461259,412516,511546,414855
Pakistan,692543,530698,600553,538024,523343,482005,494097,456173,505444,386258,418980,383612
Romania,312590,383741,325255,392818,341321,361797,366372,364896,346236,347769,322897,350056
Algeria,435343,325650,460072,249346,161127,199702,471122,162092,222668,229213,138672,320638
Trinidad and Tobago,482696,305254,427458,536287,523038,305381,428143,461818,394166,327250,265160,298146
Guyana,169597,607394,130608,454930,164689,111740,215282,308397,231234,364977,267834,287263
"Venezuela, Bolivarian Republic of",39279,40218,40224,36261,39126,36183,30787,36667,125186,145679,304355,284763
Kazakhstan,211997,213812,426506,265289,71199,325902,142446,151941,276616,161874,114439,280258
Sri Lanka,303484,305303,273370,359151,346294,321863,261076,251059,343202,219809,258772,248797
Russian Federation,1158458,704932,514816,553546,365197,764263,639661,680037,549237,684116,595459,244852
Slovenia,333366,251724,352285,190115,223421,309071,238090,271794,337823,141691,470136,230432
Qatar,320143,200599,286721,143463,228874,170746,414119,195957,263161,231886,233508,229253
Ghana,185932,270161,256465,224767,211049,364894,228555,207868,82743,47745,141737,213068
El Salvador,252791,276013,311043,257056,265759,246724,227451,208044,179132,219948,295453,212629
Jordan,337848,225881,262037,302833,321217,361959,218859,194929,286644,230011,298302,196373
Lithuania,251133,174878,129825,203721,204556,261853,263188,237394,208196,114653,209622,190813
Greece,216973,296702,261241,239039,208131,220323,169740,215432,199324,176207,210162,185975
C?te d'Ivoire,128174,124383,72750,97029,77405,66103,57919,50162,169176,127159,131401,170877
Bahamas,132014,180889,53994,296147,150892,28113,185281,370965,309803,41870,103551,168742
Ukraine,54766,84323,96170,115581,109421,134011,204399,108489,103101,143434,138496,165967
Morocco,194263,128262,156146,155558,183342,142647,157591,123483,172864,154282,169927,162958
Bulgaria,134696,161303,138781,124968,138397,163186,134116,132124,121806,125427,169877,155882
Egypt,280991,295949,299453,222429,244067,211050,178259,176486,256147,170034,173667,155141
Angola,94340,199587,120437,166755,157223,217044,70334,47024,6385,64370,37636,151676
"Libya, State of",178674,216257,82554,175562,258150,218099,57935,198765,179208,811,60417,139737
Oman,251911,259731,268390,304362,213071,243984,307793,154529,123433,118025,160067,121125
Bahrain,165300,276967,245361,112013,175868,154912,113360,125837,62474,100401,99184,105422
Uruguay,75982,101982,101576,99605,77556,77642,98581,81019,68774,52211,87439,84149
Haiti,103324,108719,107333,118484,77042,37728,43321,111232,50213,85677,80486,82115
Estonia,113219,144641,145670,108535,138850,122846,78322,60128,63513,67849,86811,71294
Serbia,81446,79519,76367,72304,63178,70526,76686,73677,69775,68246,63717,70724
Myanmar,121301,82416,88479,116952,100043,112581,95000,71974,93205,65078,74663,69407
Madagascar,87890,77340,112281,75898,60881,60541,68580,55639,67998,52410,72908,69402
Luxembourg,81209,48124,77679,93060,68616,58269,61883,68030,73146,50895,52476,67501
Kenya,77529,65041,77337,119321,84226,83333,84059,83597,78201,51233,78877,63262
Tunisia,85600,96193,61662,62735,52172,62267,59010,62627,56338,61945,121808,62060
Latvia,56619,95782,87113,56978,69543,70869,63994,52598,71021,46721,57712,56017
Kuwait,267916,200963,159370,114580,52949,278237,239528,220536,128425,203455,95679,54114
Croatia,61283,59957,99957,65889,68943,72300,75667,83942,53259,76325,84441,51242
Iceland,56273,74038,47677,60358,66197,65093,83234,63700,60646,55481,71270,51143
"Congo, Democratic Republic of the",9866,14773,10013,11736,11606,3382,7504,2909,9955,12059,112886,50552
Ethiopia,83174,73143,76554,77090,65919,48635,47864,50655,34306,34193,30412,40682
Botswana,53244,58435,53940,39077,50680,29950,44061,38646,53911,39695,44380,39907
Panama,42261,58231,56214,46637,45682,35634,43089,54082,41546,40192,47877,39360
Jamaica,31755,31138,42224,35432,25398,39531,28310,25192,22521,48113,35120,30746
Lesotho,21508,19339,50141,27032,34429,25673,20617,52044,13935,14500,17032,30739
Lao People's Democratic Republic,21294,25829,23156,31878,24327,25133,18494,26945,29796,24020,30647,28973
Equatorial Guinea,18960,14508,13036,43409,24825,16615,22353,2887,36594,21428,134444,28538
Brunei Darussalam,24196,1370,1659,19401,8815,5668,1731,8187,30941,26546,5138,28016
Fiji,40617,38557,24326,34447,29327,44629,30408,23962,33913,18566,26498,27067
"Bolivia, Plurinational State of",103002,60566,64610,31309,47629,40460,27488,48511,26661,34566,37708,25958
Faroe Islands,28050,28392,23533,24882,25174,23245,25785,20050,22558,19631,25413,24297
Paraguay,32943,28225,17790,21339,16044,24833,24479,33987,23303,17446,18079,22872
Uzbekistan,8883,25152,5138,1239,1831,1276,3049,5017,1289,2346,1229,22122
Mauritius,17462,26791,30487,31773,26875,25316,24811,21873,24716,21206,21738,21859
Malta,27419,17054,13797,23458,19275,22885,27470,34032,40923,18163,15328,17513
Lebanon,17859,14067,14856,20512,18672,30650,17648,20455,15023,10831,20281,16338
"Tanzania, United Republic of",27176,7805,6713,15195,17228,11988,16444,19357,25405,16289,18365,16183
Mozambique,19083,20794,7023,21816,7504,21094,14209,11003,19637,12197,24398,16132
"Macedonia, North",55219,18767,13976,11842,7456,11504,11625,16858,27470,27652,25353,15730
Senegal,13972,7976,10992,15310,18589,15903,17627,10897,22104,13829,8928,15183
Uganda,9849,11660,11312,20200,9254,8357,8892,12530,16733,10678,13989,13764
Namibia,80645,11626,18598,20703,11406,19647,23793,12476,9500,12140,14478,12705
Bosnia and Herzegovina,12567,16311,16570,17683,14247,16303,16787,12449,12018,11440,13655,12690
Georgia,7660,64155,70839,19007,3244,55086,5566,6340,12920,5468,5055,11855
"Moldova, Republic of",6819,10575,8102,10059,8398,9567,8717,9363,16342,8436,12033,11173
Nepal,11208,12105,11829,14748,14302,13503,12069,10542,9468,11220,10909,10650
Cura?ao,5458,7797,2675,25416,3538,9829,14624,13721,17647,15001,11177,10298
Armenia,12659,7099,10767,7048,5917,5164,7866,6905,4337,19307,9154,10080
Belize,3520,4922,7188,2462,20209,5157,4293,2800,1787,2379,1989,9598
Gabon,59822,4611,12610,85690,15588,3021,12738,8629,9387,1482,2035,8471
"Macao, China",16198,16368,11199,16114,19359,14566,12832,12498,9952,5448,9654,7429
Cameroon,12770,8282,11403,9889,11434,10441,12770,8314,63123,6777,8590,6845
Niger,5474,4612,2804,7010,1919,2833,3399,5759,13530,2495,7741,6083
Albania,8214,6407,9306,8060,9611,42992,8007,8706,10203,7479,8239,5863
Belarus,7181,6920,10354,2825,3874,4141,6067,5914,4136,7251,8340,5510
Togo,6897,14116,9210,7718,6618,9901,8642,16999,2777,2779,7529,5475
Liberia,8347,11334,7037,8087,7432,7259,5569,6476,3611,5691,7799,5305
Suriname,8974,7752,4850,5782,4742,6056,6951,6806,7419,8366,6842,5167
Cyprus,6320,11816,3717,5707,3078,5950,4175,4140,4389,1400,4069,5020
Falkland Islands (Malvinas),53,8378,287,28,0,4951,2111,6035,1045,48,7043,5011
British Virgin Islands,408,140,112,232,305,340,605,276,208,54,484,4916
Barbados,4227,4643,4884,4207,4907,5008,4665,5037,4713,3309,5035,4883
Zimbabwe,3833,2458,1397,11869,13423,14491,13771,2649,4598,17057,14053,4488
French Southern and Antarctic Territories,4,6,1,5,3,0,51,0,24,3,9,4011
French Polynesia,3340,3968,3840,4068,4156,5885,4325,3701,3014,1831,4581,3751
Saint Kitts and Nevis,3737,2687,2529,2169,2690,1544,1699,1808,1798,1621,1705,3466
New Caledonia,241,3277,4107,274,5387,3013,2053,473,694,3666,2353,3053
Papua New Guinea,5927,2193,5676,2690,7210,15192,7051,12806,7336,4059,9395,2936
Mongolia,2459,3235,2213,2260,2464,3926,2980,1706,2497,769,1712,2616
Malawi,4486,2892,2662,2056,6097,10417,3850,4808,8958,3722,6196,2497
Congo,2532,3529,5474,10084,4136,108693,2336,1606,2472,846,1684,2368
Grenada,2299,1820,1822,900,875,1333,1420,1173,682,850,2018,2307
Zambia,28655,9883,7501,4617,7131,13050,13836,12707,20967,3089,11847,2241
Greenland,2608,850,3579,1387,2293,1574,6421,4950,2348,3026,4477,2203
Sudan,4981,5595,7322,8914,4424,1721,1497,714,632,1764,966,2077
Cayman Islands,1142,1542,770,1369,2683,892,2711,2283,3086,2652,2611,1747
Afghanistan,1352,1871,1694,1449,4416,736,2006,1889,993,2202,3444,1452
Guinea,772,599,914,160,508,298,345,1031,2525,2259,883,1341
Rwanda,1398,854,784,3496,8421,15517,6928,5747,10031,5874,3041,1165
Azerbaijan,42829,19673,50333,4048,25656,5061,1288,2479,1630,2705,1164,1161
Marshall Islands,1968,2045,1895,1282,1983,2150,1019,1410,1493,415,278,1140
Turks and Caicos Islands,842,2890,976,1005,1351,616,1388,520,795,663,1777,1115
Sierra Leone,1582,1878,2148,1417,1256,2035,958,1012,1135,1071,962,1085
